code,name,category,Annual,nYear,3G2H,PE Value,EPS GR Value,intrinsic,Price_A,Price_B,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,EY avg,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,check NP,check EPS GR,check OCF,neg Revenue,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,EY level,DY level,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health
4677,YTL CORPORATION BERHAD,Utilities,2019-06-01,10,0.0,0.33,0.0,0.17,0.13,0.79,0.86,0.6,1.17,1.24,78.0,0.01,0.01,0.04,4.65,0.89,1.77,2.98,2.32,5.26,10.8,56.0,33.4,21.61,0.0,-35.64,-31.0,-13.55,5.82,3.31,4.35,5.82,3.19,4.72,5.07,3.19,69.97,1,0,1,3+4+5+6+7,+,1+2+3+4+5+10,+,16505,17378,0.09,0.02,3448,2770,0,5,0.0,0.0,0.0,0.0,0.0
3069,MEGA FIRST CORPORATION BERHAD,Utilities,2019-12-01,10,1.0,3.2,0.32,3.66,2.74,4.08,5.89,3.1,6.07,3.78,18.0,0.32,0.05,0.06,1.02,8.59,10.64,0.02,0.02,13.43,5.83,14.19,10.01,8.65,1.01,1.01,5.58,3.94,12.37,8.68,10.7,12.37,2.73,1.01,1.82,2.73,20.79,1,0,1,1+2+3+5+7,+,2+3+6+8,+,523,694,0.25,0.36,97,42,0,1,0.0,0.0,0.0,0.0,1.0
9806,NATIONWIDE EXPRESS HOLDINGS BERHAD,Transportation & Logistics,2019-03-01,9,1.0,-4.5,-0.0,-5.47,-4.1,0.11,0.12,0.04,0.26,0.43,0.0,-0.31,-2.58,0.0,0.0,-72.67,-92.07,0.0,0.0,-7.18,-56.0,85.0,14.5,5.11,0.0,0.0,0.0,0.0,-14.14,-39.06,-24.85,0.0,1.28,0.0,0.0,0.0,76.42,0,0,0,2+3+4+6,1+2+3+4+5+6,1+2+3+4+5+6+7+8+9,1+4+5,92,87,0.01,-0.24,6,-9,0,0,0.0,0.0,0.0,0.0,1.0
8397,TIONG NAM LOGISTICS HOLDINGS BERHAD,Transportation & Logistics,2019-03-01,10,0.5,-0.33,-0.0,-0.12,-0.09,0.37,0.445,0.26,0.6,1.53,-39.0,-0.01,-0.02,0.0,0.0,-0.75,-0.2,0.97,0.81,7.78,7.06,58.5,32.78,18.9,0.0,0.0,0.0,0.0,6.85,5.28,8.74,6.85,1.51,1.63,1.98,1.51,18.83,0,0,0,1+4+10,1,1+2+3+7+8+10,9,268,589,0.03,0.0,23,19,0,0,0.5,0.0,0.0,0.0,0.0
8346,PERAK CORPORATION BERHAD,Transportation & Logistics,2018-12-01,10,2.0,-2.12,-0.0,-8.16,-6.12,0.22,0.175,0.09,0.47,0.03,0.0,-0.77,-4.4,0.0,0.0,-2553.67,-31.43,0.11,0.38,1.84,-8.0,13.5,2.75,4.12,0.0,0.0,0.0,0.0,-62.17,-251.01,-138.45,-62.17,1.18,0.0,0.0,1.18,5.94,0,0,0,4+6+10,1+2+3,1+2+3+6+10,3+4,95,193,0.12,-1.05,36,74,0,0,0.5,0.0,0.5,0.0,1.0
8133,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,Transportation & Logistics,2018-12-01,10,1.0,-50.19,-0.0,-4.94,-3.7,0.82,0.64,0.56,1.36,0.47,-1.0,-0.47,-0.73,0.0,0.0,-99.87,-37.53,0.05,0.02,-3.37,-15.42,229.0,106.79,34.8,0.0,0.0,0.0,0.0,-2.04,-4.9,-3.54,-2.04,1.29,1.54,0.93,1.29,5.09,0,0,0,1+2+4+6+8+10,1+4+7,1+2+3+4+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,544,169,0.3,-0.43,0,0,0,0,0.0,0.0,0.0,0.0,1.0
7676,GUNUNG CAPITAL BERHAD,Transportation & Logistics,2018-12-01,8,1.0,0.51,-0.0,-0.31,-0.23,0.39,0.565,0.255,0.655,0.386,-16.0,-0.03,-0.05,0.0,0.0,-8.89,-0.21,0.02,0.02,5.24,-47.5,13.8,-16.85,-9.6,0.0,0.0,0.0,0.0,3.6,-2.05,1.14,0.0,0.78,0.0,0.47,0.0,3.66,0,0,0,1+4,1+2+3,1+2+3+4+5+6,1,76,28,0.05,0.0,41,-8,0,0,0.0,0.0,0.0,0.0,1.0
7218,TRANSOCEAN HOLDINGS BHD,Transportation & Logistics,2018-12-01,6,1.5,0.49,-0.0,-1.3,-0.98,0.48,0.49,0.42,0.59,0.89,-4.0,-0.13,-0.27,0.0,0.0,-14.94,0.13,0.0,0.01,0.68,-44.0,36.5,-3.75,-0.06,0.0,-16.08,0.0,0.0,-0.11,-0.38,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+5+6,1+3,1+2+4+5+6,5,28,23,-0.01,0.0,1,5,0,0,0.0,0.0,0.5,0.0,1.0
7210,FREIGHT MANAGEMENT HOLDINGS BERHAD,Transportation & Logistics,2019-06-01,10,2.5,0.7,0.0,0.77,0.58,0.48,0.49,0.38,0.69,1.04,11.0,0.05,0.1,0.04,7.14,4.4,4.71,0.22,0.2,5.19,8.38,19.78,14.08,14.16,0.0,-13.51,-11.65,-2.37,7.59,7.02,6.62,7.59,4.22,3.38,2.93,4.22,53.96,1,0,1,4,+,1+2+4+5+6+8,+,266,545,0.08,0.05,15,34,0,5,0.5,0.0,1.0,0.0,1.0
7187,CHIN HIN GROUP PROPERTY BERHAD,Transportation & Logistics,2019-03-01,8,1.0,0.0,0.0,0.1,0.08,0.29,0.35,0.235,0.41,0.4,38.0,0.01,0.03,0.0,0.0,2.3,2.97,0.01,0.01,0.11,-34.0,35.0,0.5,1.33,0.0,0.0,0.0,0.0,-1.96,2.2,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4+5+6+7+8,3+4+5+6,1+2+3+4+5+6+7,1+2+6,154,151,0.04,0.01,6,-6,0,0,0.0,0.0,0.0,0.0,1.0
7117,CJ CENTURY LOGISTICS HOLDINGS BERHAD,Transportation & Logistics,2019-12-01,10,0.5,-0.1,-0.0,-0.29,-0.22,0.29,0.35,0.205,0.47,0.8,-15.0,-0.02,-0.06,0.01,2.14,-2.94,-2.36,0.51,0.51,7.33,-19.75,29.43,4.84,15.22,0.0,0.0,0.0,0.0,5.24,1.34,3.86,5.24,3.09,1.18,3.06,3.09,46.99,0,0,1,3+7+8,1,1+2+3+4+5+8+9,,271,492,0.11,-0.02,36,1,0,3,0.5,0.0,0.0,0.0,0.0
7053,SEE HUP CONSOLIDATED BERHAD,Transportation & Logistics,2019-03-01,8,1.5,-1.55,-0.0,-0.56,-0.42,0.86,0.84,0.795,1.0,0.983,-20.0,-0.04,-0.05,0.02,2.14,-4.29,-5.36,0.2,0.23,0.07,-52.5,130.0,38.75,23.82,0.0,0.0,0.0,0.0,0.38,-2.57,2.78,0.0,1.78,1.51,1.62,0.0,39.55,0,0,0,4+6+7+8,1+3+5+6,1+2+3+4+6+7+8,2,132,96,-0.03,-0.06,12,12,0,3,0.0,0.0,0.5,0.0,1.0
7013,HUBLINE BERHAD,Transportation & Logistics,2019-09-01,10,1.0,0.0,-0.0,0.0,0.0,0.04,0.055,0.03,0.06,0.05,-238.0,-0.0,-0.0,0.0,0.0,-0.4,-0.4,0.15,0.17,-55.65,-5.75,3.0,-1.38,0.17,0.0,0.0,0.0,0.0,-1607.7,-5.8,-2696.81,-1607.7,1.76,0.0,0.0,1.76,4.0,0,0,0,4+5+6+7+8+9+10,1+2+3+4+5+7+9,1+2+3+4+5+6+7+8+9+10,2+3+4,634,124,0.08,0.0,24,19,0,0,0.0,0.0,0.0,0.0,1.0
6645,LINGKARAN TRANS KOTA HOLDINGS BERHAD,Transportation & Logistics,2019-03-01,10,3.0,8.7,4.02,5.57,4.18,3.86,4.01,3.3,5.0,2.07,8.0,0.5,0.12,0.25,6.23,24.23,26.94,0.53,0.83,36.19,9.36,25.44,17.4,15.87,8.04,10.16,11.38,8.04,6.68,8.41,7.78,6.68,4.76,4.83,4.95,4.76,66.07,1,0,1,1+2+10,+,8+10,+,311,516,0.17,0.45,221,372,0,5,0.5,0.5,1.0,1.0,0.0
6521,SURIA CAPITAL HOLDINGS BERHAD,Transportation & Logistics,2019-12-01,10,1.5,1.54,0.0,1.8,1.35,1.03,0.99,0.82,1.45,3.2501,7.0,0.14,0.14,0.05,5.05,4.19,4.77,0.0,0.0,20.16,6.32,15.73,11.02,11.26,0.0,-7.81,-0.3,-0.89,9.51,9.49,10.77,9.51,2.74,2.93,2.87,2.74,28.61,1,0,1,1+4+8,+,1+3+4+6+8+9+10,+,255,275,0.16,0.15,215,104,0,5,0.5,0.0,0.0,0.0,1.0
6254,PDZ HOLDINGS BHD,Transportation & Logistics,2018-12-01,9,1.0,-0.04,-0.0,-0.1,-0.08,0.02,0.035,0.01,0.045,0.0641,-2.0,-0.01,-0.29,0.0,0.0,-22.93,-31.79,0.0,0.0,-38.93,-7.5,15.0,3.75,0.68,0.0,0.0,0.0,0.0,-51.53,-33.33,-82.86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+5+6+9,1+2+3+4+5+8+9,1+2+3+4+5+6+8+9,1+2+3+5+9,164,5,-0.01,-0.02,-3,-6,0,0,0.0,0.0,0.0,0.0,1.0
5614,INTEGRATED LOGISTICS BHD,Transportation & Logistics,2019-12-01,9,1.0,0.66,2.7,0.23,0.17,0.31,0.265,0.22,0.48,0.953,3.0,0.08,0.3,0.0,0.0,8.22,8.23,0.31,0.31,-7.43,-12.0,28.5,8.25,2.1,33.71,33.71,0.0,0.0,-2.36,-33.78,-21.28,0.0,2.54,0.0,1.68,0.0,3.4,0,0,0,1+3+4+5+7,2+3+5+6,1+2+3+4+5+6+7+8+9,3+4+5+6,134,10,0.07,0.08,14,1,0,0,0.0,0.0,0.0,0.0,1.0
5267,XIN HWA HOLDINGS BERHAD,Transportation & Logistics,2019-03-01,5,1.0,0.93,0.0,0.2,0.15,0.42,0.37,0.245,0.775,0.87,23.0,0.02,0.05,0.0,1.35,1.86,1.0,0.49,0.34,10.13,12.56,80.0,46.28,30.18,0.0,-56.89,-44.44,0.0,5.16,3.34,5.16,0.0,0.35,0.58,0.35,0.0,0.0,1,0,1,2+3+4+5,+,1+2+3+4+5,+,111,116,0.09,0.01,18,16,0,1,0.0,0.0,0.0,0.0,1.0
5259,E.A.TECHNIQUE (M) BERHAD,Transportation & Logistics,2019-12-01,6,1.0,1.89,1.45,0.31,0.23,0.29,0.33,0.2,0.485,0.52,5.0,0.07,0.21,0.0,0.0,13.19,14.86,0.78,0.78,2.6,-1.56,55.5,26.97,18.02,20.69,60.69,20.69,0.0,0.94,-1.94,-0.16,0.0,0.57,0.0,0.68,0.0,7.7,0,0,0,1+3+6,3,1+2+3+4+6,5,156,272,0.03,0.07,30,143,0,0,0.5,0.0,0.5,0.0,0.0
5246,WESTPORTS HOLDINGS BERHAD,Transportation & Logistics,2019-12-01,10,2.5,2.47,0.52,2.22,1.66,3.49,3.57,2.97,4.54,0.733,20.0,0.18,0.05,0.13,3.64,24.16,23.75,0.53,0.52,34.4,0.0,27.47,13.74,15.74,2.9,-2.47,2.9,0.0,4.52,4.53,4.33,0.0,2.69,3.4,3.18,0.0,43.78,1,0,1,2+3+10,+,2+5+10,+,943,1742,0.09,0.17,481,960,0,5,0.5,0.0,1.0,1.0,0.0
5173,SHIN YANG SHIPPING CORPORATION BERHAD,Transportation & Logistics,2019-06-01,10,1.0,-2.36,-0.0,-1.08,-0.81,0.18,0.195,0.115,0.305,0.88,-2.0,-0.1,-0.51,0.0,0.0,-11.43,-7.73,0.06,0.07,5.9,-4.29,51.5,23.6,17.18,0.0,0.0,0.0,0.0,3.01,-5.76,-2.85,3.01,1.2,0.0,0.0,1.2,8.03,0,0,1,2+3+4+5+10,1,1+3+5+7+8+9+10,,321,580,0.23,-0.07,280,79,0,0,0.0,0.0,0.0,0.0,1.0
5149,TAS OFFSHORE BERHAD,Transportation & Logistics,2019-05-01,10,1.0,0.08,0.0,0.11,0.08,0.25,0.24,0.14,0.46,0.9223,34.0,0.01,0.04,0.0,0.0,0.77,2.47,0.07,0.0,-2.82,-4.25,20.0,7.88,7.12,0.0,0.0,-32.64,-23.48,2.32,-5.01,-7.27,2.32,1.0,0.0,0.0,1.0,14.76,0,0,0,1+3+4+8+9,3+4,2+3+4+5+9+10,3+6+7+8+10,140,36,0.05,0.02,-7,18,0,0,0.0,0.0,0.0,0.0,1.0
5145,SEALINK INTERNATIONAL BERHAD,Transportation & Logistics,2018-12-01,10,1.0,0.23,-0.0,-0.82,-0.62,0.33,0.27,0.125,0.74,0.66,-4.0,-0.07,-0.26,0.0,0.0,-11.35,-5.42,0.12,0.15,-9.07,-19.5,13.0,-3.25,0.51,0.0,0.0,0.0,0.0,-14.68,-62.95,-38.73,-14.68,2.76,0.0,0.77,2.76,17.51,0,0,0,1+2+3+5+7+8+10,1+2+3+4+7,1+2+3+4+5+6+7+8+9+10,1+6+7,193,70,0.1,-0.04,118,0,0,0,0.0,0.0,0.0,0.0,1.0
5140,TASCO BERHAD,Transportation & Logistics,2019-03-01,10,1.5,1.03,0.0,0.72,0.54,0.9,1.0,0.65,1.4,2.18,18.0,0.06,0.06,0.04,4.5,2.61,3.56,0.72,0.78,5.35,10.6,23.71,17.16,15.88,0.0,-24.71,-11.86,-2.84,6.76,6.51,6.64,6.76,2.11,2.02,1.94,2.11,19.3,1,0,1,7+10,+,1+2+4+6+7+10,+,366,737,0.09,0.07,27,103,0,5,0.5,0.0,1.0,0.0,0.0
5136,COMPLETE LOGISTIC SERVICES BERHAD,Transportation & Logistics,2019-03-01,10,1.5,1.02,0.0,0.85,0.64,0.58,0.545,0.39,0.97,1.1,8.0,0.07,0.13,0.0,0.0,5.95,7.39,0.18,0.09,4.77,-56.0,85.0,14.5,9.16,0.0,-13.65,-6.19,-2.18,5.68,9.15,9.06,5.68,1.56,0.0,0.71,1.56,21.98,0,0,1,3+4+7+9+10,8+10,2+3+4+5+7+8+9+10,,109,124,-0.01,0.09,14,21,0,0,0.0,0.0,0.5,0.0,1.0
5078,MARINE & GENERAL BERHAD,Transportation & Logistics,2017-12-01,10,0.5,-0.07,-4.33,-0.11,-0.08,0.06,0.06,0.04,0.11,0.0854,-1.0,-0.07,-1.17,0.0,0.0,-87.59,108.95,14.82,4.94,32.26,-17.0,19.0,1.0,-2.88,61.82,0.0,61.82,0.0,31.58,40.42,21.0,31.58,5.88,19.61,11.76,5.88,0.0,0,0,0,1+2+4+8+9+10,2+3+4+7+10,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,29,152,-0.46,0.21,0,0,0,0,0.0,0.0,0.0,0.5,0.0
5077,MALAYSIAN BULK CARRIERS BERHAD,Transportation & Logistics,2019-12-01,10,0.0,1.65,0.0,0.65,0.49,0.38,0.35,0.18,0.785,0.3645,7.0,0.05,0.14,0.0,0.0,14.02,-1.96,0.91,1.24,-51.52,-55.0,121.0,33.0,15.06,0.0,0.0,0.0,0.0,-16.53,9.14,-37.73,-16.53,1.95,0.0,0.25,1.95,29.69,0,0,0,2+4+5+7+8+9,1+3+4+5,1+2+3+4+5+6+7+8+9+10,4+5+6+8,404,258,0.24,-0.01,222,110,0,0,0.0,0.0,0.0,0.0,0.0
5032,BINTULU PORT HOLDINGS BERHAD,Transportation & Logistics,2019-12-01,10,1.0,5.16,0.0,4.56,3.42,3.86,4.2,3.27,5.06,2.9391,16.0,0.26,0.06,0.14,3.33,8.94,9.93,1.05,1.05,21.5,14.06,25.64,19.85,18.86,0.0,-4.79,-2.03,-1.35,5.46,6.37,5.65,5.46,3.84,3.56,3.51,3.84,75.29,1,0,1,1+2+3+6,+,1+2+5+6+7+8,+,455,703,0.38,0.28,158,375,0,5,0.0,0.0,1.0,0.0,0.0
5014,MALAYSIA AIRPORTS HOLDINGS BERHAD,Transportation & Logistics,2018-12-01,10,2.5,30.03,0.97,1.74,1.3,5.56,4.94,3.92,8.88,5.5394,22.0,0.22,0.04,0.15,3.04,3.99,7.38,0.42,0.54,11.4,-606.0,879.0,136.5,49.02,4.4,0.0,6.76,4.4,3.86,2.23,2.94,3.86,1.98,1.35,1.29,1.98,0.0,1,0,0,5+10,+,2+3+4+6+7+9+10,+,1637,4852,0.3,0.4,-306,2029,0,5,0.5,0.0,1.0,0.0,1.0
4634,POS MALAYSIA BERHAD,Transportation & Logistics,2019-03-01,10,1.5,-5.88,-0.0,-7.2,-5.4,1.01,1.12,0.52,2.0,1.85,-2.0,-0.46,-0.41,0.04,3.57,-24.63,-9.06,0.34,0.12,6.04,-7.05,32.62,12.78,17.19,0.0,0.0,0.0,0.0,3.69,-0.4,1.44,3.69,4.31,5.95,4.61,4.31,56.42,0,0,1,1+7+10,1,1+2+4+5+9+10,,903,2355,0.14,-0.21,107,103,0,5,0.5,0.0,0.0,0.0,1.0
3816,MISC BERHAD,Transportation & Logistics,2019-12-01,10,2.0,-1.49,-0.0,-0.69,-0.52,7.46,8.08,6.52,9.373,7.71,-150.0,-0.05,-0.01,0.33,4.08,-0.7,4.07,0.24,0.22,17.53,12.13,47.65,29.89,21.62,0.0,-17.89,-8.32,-1.21,5.37,4.7,5.54,5.37,2.92,4.53,3.92,2.92,37.07,1,0,0,2+4+7+8+9+10,+,2+3+8+10,+,13775,8963,0.17,0.32,0,5579,0,5,0.0,0.0,1.0,0.0,1.0
2194,MMC CORPORATION BERHAD,Transportation & Logistics,2019-12-01,10,1.0,2.01,0.07,1.13,0.85,0.71,0.85,0.45,1.25,3.08,10.0,0.09,0.11,0.04,5.29,2.77,2.7,0.98,1.01,11.33,3.56,41.14,22.35,18.78,0.74,-22.58,-12.31,0.74,8.38,6.65,11.15,8.38,2.08,3.61,2.83,2.08,32.32,1,0,1,1+3+5+8,+,2+3+4+7+9,+,8864,4561,0.11,0.08,2060,2256,0,5,0.0,0.0,1.0,0.0,0.0
2062,HARBOUR-LINK GROUP BERHAD,Transportation & Logistics,2019-06-01,10,1.0,2.9,0.0,0.74,0.55,0.52,0.49,0.42,0.71,1.03,8.0,0.06,0.12,0.01,2.04,5.76,6.46,0.1,0.1,5.92,6.57,90.0,48.28,22.98,0.0,-23.65,-5.62,-0.47,7.47,10.59,10.38,7.47,1.45,1.93,1.89,1.45,23.33,1,0,0,1+3+7+10,+,1+3+7+9+10,+,309,591,0.05,0.06,34,28,0,3,0.0,0.0,0.0,0.0,1.0
0078,GD EXPRESS CARRIER BERHAD,Transportation & Logistics,2019-06-01,10,3.5,0.0,0.0,0.0,0.0,0.21,0.37,0.115,0.39,0.09,80.0,0.0,0.0,0.0,0.68,5.11,6.99,0.03,0.04,11.02,26.5,154.0,90.25,95.0,3.46,-4.46,3.46,27.62,0.68,1.79,1.35,0.68,0.0,0.0,0.0,0.0,37.02,1,0,1,+,+,2+3,+,82,314,0.0,0.01,10,26,0,0,1.0,0.5,1.0,0.0,1.0
0150,FINTEC GLOBAL BERHAD,Trad/Serv,2019-03-01,9,2.0,-0.55,0.0,1.7,1.27,0.04,0.045,0.02,0.095,0.4364,0.0,0.17,3.78,0.0,0.0,38.61,-33.64,0.0,0.0,-91.53,-10.0,3.5,-3.25,-2.0,0.0,0.0,0.0,0.0,-65.06,-32.9,-66.18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+3+4+7+9,1+4+5+6+7+8,1+3+4+5+6+7+8+9,1+2+3+4+5+6+7+9,2,15,0.0,-0.07,-2,-27,2,0,0.0,0.0,0.0,1.0,1.0
0080,STRAITS INTER LOGISTICS BERHAD,Trad/Serv,2019-12-01,6,2.0,0.05,2.63,0.0,0.0,0.17,0.175,0.13,0.26,0.17,16.0,0.01,0.06,0.0,0.0,6.41,7.23,0.03,0.03,-58.12,-15.5,26.0,5.25,13.75,262.76,262.76,0.0,0.0,1.06,4.28,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,+,4+5+6,2+3+4+5+6,2+3+4+5+6,3,663,-0.01,0.01,-1,12,0,0,1.0,0.0,0.0,0.0,1.0
0048,ANCOM LOGISTICS BERHAD,Trad/Serv,2019-05-01,9,1.5,0.0,0.0,0.0,0.0,0.05,0.075,0.03,0.09,0.05,203.0,0.0,0.0,0.0,0.0,0.8,-1.45,0.33,0.2,2.82,-10.5,16.0,2.75,3.29,0.0,0.0,0.0,0.0,5.44,-3.17,-1.9,0.0,8.05,0.0,0.0,0.0,138.12,0,0,0,3+5+6+7,1+2+3+4,1+2+3+4+5+6+7+8,5+9,62,30,0.03,0.0,-13,3,0,0,0.0,0.0,0.5,0.0,1.0
0011,BRITE-TECH BERHAD,Trad/Serv,2018-12-01,10,2.0,0.52,0.15,0.38,0.29,0.19,0.235,0.15,0.28,0.25,7.0,0.03,0.13,0.02,6.81,12.84,7.67,0.3,0.25,14.07,11.0,24.0,17.5,14.94,5.15,-2.94,5.15,11.72,5.69,8.17,7.71,5.69,3.22,7.02,5.61,3.22,69.68,1,0,1,2+5+9+10,+,2+4+7+10,+,17,27,0.0,0.02,4,5,0,5,0.0,0.0,1.0,0.0,1.0
9431,SENI JAYA CORPORATION BERHAD,Telecommunications & Media,2018-12-01,8,1.0,-0.17,-0.0,-0.14,-0.11,0.48,0.42,0.42,0.59,1.3,-30.0,-0.01,-0.02,0.0,0.0,-1.08,-1.37,0.19,0.0,5.2,-27.5,62.0,17.25,17.56,0.0,0.0,0.0,0.0,3.75,-0.68,1.33,0.0,3.09,0.92,1.41,0.0,37.7,0,0,0,1+3+4+5,1,1+2+3+4+5+6,2+6,26,18,0.04,-0.02,6,2,0,0,0.0,0.0,0.0,0.0,1.0
