code,name,category,Annual,nYear,Price,52w low,52w high,NTA,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,EY avg,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,check NP,check EPS GR,check OCF,neg Revenue,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
5149,TAS OFFSHORE BERHAD,Transportation & Logistics,2019-05-01,10,0.255,0.14,0.46,0.9223,36.0,0.71,2.78,0.0,0.0,0.77,2.47,0.07,0.0,-2.82,-4.25,20.0,7.88,7.12,0.0,0.0,-32.64,-23.48,2.32,-5.01,-7.27,2.32,1.0,0.0,0.0,1.0,14.76,0,0,0,1+3+4+8+9,3+4,2+3+4+5+9+10,3+6+7+8+10,140,36,0.05,0.02,-7,18
5145,SEALINK INTERNATIONAL BERHAD,Transportation & Logistics,2018-12-01,10,0.28,0.125,0.74,0.66,-4.0,-7.49,-26.75,0.0,0.0,-11.35,-5.42,0.12,0.15,-9.07,-19.5,13.0,-3.25,0.51,0.0,0.0,0.0,0.0,-14.68,-62.95,-38.73,-14.68,2.76,0.0,0.77,2.76,17.51,0,0,0,1+2+3+5+7+8+10,1+2+3+4+7,1+2+3+4+5+6+7+8+9+10,1+6+7,193,70,0.1,-0.04,118,0
5140,TASCO BERHAD,Transportation & Logistics,2019-03-01,10,0.97,0.65,1.4,2.18,17.0,5.7,5.88,4.5,4.64,2.61,3.56,0.72,0.78,5.35,10.6,23.71,17.16,15.88,0.0,-24.71,-11.86,-2.84,6.76,6.51,6.64,6.76,2.11,2.02,1.94,2.11,19.3,1,0,1,7+10,+,1+2+4+6+7+10,+,366,737,0.09,0.07,27,103
5136,COMPLETE LOGISTIC SERVICES BERHAD,Transportation & Logistics,2019-03-01,10,0.53,0.39,0.97,1.1,8.0,6.54,12.34,0.0,0.0,5.95,7.39,0.18,0.09,4.77,-56.0,85.0,14.5,9.16,0.0,-13.65,-6.19,-2.18,5.68,9.15,9.06,5.68,1.56,0.0,0.71,1.56,21.98,0,0,1,3+4+7+9+10,8+10,2+3+4+5+7+8+9+10,,109,124,-0.01,0.09,14,21
5078,MARINE & GENERAL BERHAD,Transportation & Logistics,2017-12-01,10,0.06,0.04,0.11,0.0854,-1.0,-7.48,-124.67,0.0,0.0,-87.59,108.95,14.82,4.94,32.26,-17.0,19.0,1.0,-2.88,61.82,0.0,61.82,0.0,31.58,40.42,21.0,31.58,5.88,19.61,11.76,5.88,0.0,0,0,0,1+2+4+8+9+10,2+3+4+7+10,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,29,152,-0.46,0.21,0,0
5077,MALAYSIAN BULK CARRIERS BERHAD,Transportation & Logistics,2019-12-01,10,0.335,0.18,0.785,0.3548,-46.0,-0.73,-2.18,0.0,0.0,-2.06,-1.96,1.24,1.24,-51.52,-55.0,121.0,33.0,15.06,0.0,0.0,0.0,0.0,-16.53,9.14,-37.73,-16.53,1.95,0.0,0.25,1.95,29.69,0,0,0,2+4+5+7+8+9,1+3+4+5,1+2+3+4+5+6+7+8+9+10,4+5+6+8,404,258,0.24,-0.01,222,110
5032,BINTULU PORT HOLDINGS BERHAD,Transportation & Logistics,2019-12-01,10,4.3,3.27,5.06,2.8915,15.0,28.11,6.54,14.0,3.26,9.72,9.93,1.05,1.05,21.5,14.06,25.64,19.85,18.86,0.0,-4.79,-2.03,-1.35,5.46,6.37,5.65,5.46,3.84,3.56,3.51,3.84,75.29,1,0,1,1+2+3+6,+,1+2+5+6+7+8,+,455,703,0.38,0.28,158,375
5014,MALAYSIA AIRPORTS HOLDINGS BERHAD,Transportation & Logistics,2018-12-01,10,4.85,3.92,8.88,5.6204,15.0,32.37,6.67,15.0,3.09,5.76,7.38,0.42,0.54,11.4,-606.0,879.0,136.5,49.02,4.4,0.0,6.76,4.4,3.86,2.23,2.94,3.86,1.98,1.35,1.29,1.98,0.0,1,0,0,5+10,+,2+3+4+6+7+9+10,+,1637,4852,0.3,0.4,-306,2029
4634,POS MALAYSIA BERHAD,Transportation & Logistics,2019-03-01,10,1.05,0.52,2.0,1.85,-2.0,-45.57,-43.4,4.0,3.81,-24.63,-9.06,0.34,0.12,6.04,-7.05,32.62,12.78,17.19,0.0,0.0,0.0,0.0,3.69,-0.4,1.44,3.69,4.31,5.95,4.61,4.31,56.42,0,0,1,1+7+10,1,1+2+4+5+9+10,,903,2355,0.14,-0.21,107,103
3816,MISC BERHAD,Transportation & Logistics,2019-12-01,10,8.0,6.474,9.373,7.71,-148.0,-5.4,-0.68,33.0,4.13,-0.7,4.07,0.24,0.22,17.53,12.13,47.65,29.89,21.62,0.0,-17.89,-8.32,-1.21,5.37,4.7,5.54,5.37,2.92,4.53,3.92,2.92,37.07,1,0,0,2+4+7+8+9+10,+,2+3+8+10,+,13775,8963,0.17,0.32,0,5579
2194,MMC CORPORATION BERHAD,Transportation & Logistics,2018-12-01,10,0.705,0.45,1.25,3.04,8.0,8.38,11.89,4.5,6.38,2.76,2.31,0.95,0.85,11.05,4.24,39.71,21.98,18.87,0.0,-49.1,-0.81,-8.39,7.97,8.11,11.22,7.97,2.03,3.45,2.72,2.03,28.32,1,0,1,2+4+7+10,+,1+2+3+6+8+10,+,8444,4984,0.07,0.07,2818,1128
2062,HARBOUR-LINK GROUP BERHAD,Transportation & Logistics,2019-06-01,10,0.475,0.42,0.72,1.03,8.0,5.93,12.48,1.0,2.11,5.76,6.46,0.1,0.1,5.92,6.57,90.0,48.28,22.98,0.0,-23.65,-5.62,-0.47,7.47,10.59,10.38,7.47,1.45,1.93,1.89,1.45,23.33,1,0,0,1+3+7+10,+,1+3+7+9+10,+,309,591,0.05,0.06,34,28
0078,GD EXPRESS CARRIER BERHAD,Transportation & Logistics,2019-06-01,10,0.33,0.115,0.36,0.09,72.0,0.46,1.39,0.25,0.76,5.11,6.99,0.03,0.04,11.02,26.5,154.0,90.25,95.0,3.46,-4.46,3.46,27.62,0.68,1.79,1.35,0.68,0.0,0.0,0.0,0.0,37.02,1,0,1,+,+,2+3,+,82,314,0.0,0.01,10,26
9431,SENI JAYA CORPORATION BERHAD,Telecommunications & Media,2018-12-01,8,0.59,0.45,0.59,1.3,-42.0,-1.41,-2.39,0.0,0.0,-1.08,-1.37,0.19,0.0,5.2,-27.5,62.0,17.25,17.56,0.0,0.0,0.0,0.0,3.75,-0.68,1.33,0.0,3.09,0.92,1.41,0.0,37.7,0,0,0,1+3+4+5,1,1+2+3+4+5+6,2+6,26,18,0.04,-0.02,6,2
7190,PELANGI PUBLISHING GROUP BHD.,Telecommunications & Media,2019-09-01,9,0.3,0.23,0.35,1.0329,-34.0,-0.89,-2.97,1.0,3.33,-0.86,1.72,0.11,0.11,5.36,8.2,28.0,18.1,14.85,0.0,-11.05,-18.48,-13.15,7.07,3.68,4.19,0.0,3.7,3.31,3.18,0.0,68.93,1,0,0,2+4+5+6+7,+,2+4+5+6+9,+,53,67,0.04,0.02,-1,2
7031,AMTEL HOLDINGS BERHAD,Telecommunications & Media,2019-11-01,9,0.52,0.47,0.68,0.9262,6.0,9.23,17.75,0.0,0.0,9.97,10.14,0.0,0.0,2.74,-13.0,85.0,36.0,28.77,4.92,157.81,48.83,4.92,105.63,3.33,2.8,0.0,1.32,0.0,0.0,0.0,0.07,0,0,0,3+4+6+7+8,3,2+3+4+6+7+8+9,2+4+5+6,61,63,7.37,0.09,11,8
6947,DIGI.COM BERHAD,Telecommunications & Media,2019-12-01,10,4.39,3.82,5.1,0.08,24.0,18.31,4.17,18.2,4.15,228.88,214.97,6.67,6.76,23.54,16.4,35.27,25.84,24.39,3.64,-4.31,-6.75,3.64,4.23,4.07,4.13,4.23,4.34,4.0,4.16,4.34,105.51,1,0,1,1+3+4+5,+,1+3+4+5+8,+,5406,6297,0.15,0.18,2310,2062
6888,AXIATA GROUP BERHAD,Telecommunications & Media,2019-12-01,10,3.89,3.01,5.28,1.77,26.0,14.89,3.83,9.5,2.44,8.41,8.66,1.03,1.03,7.12,-7.42,78.67,35.62,28.77,41.06,41.06,-10.07,-2.68,2.03,-2.6,-0.4,2.03,2.59,2.06,2.64,2.59,50.09,0,0,0,2+9,2,1+2+4+6+10,1+2+3+4+5+6+7+8+9+10,15621,24583,0.21,0.16,0,0
6399,ASTRO MALAYSIA HOLDINGS BERHAD,Telecommunications & Media,2019-01-01,10,0.955,0.705,1.61,0.1641,8.0,12.57,13.16,7.5,7.85,76.6,74.73,3.91,5.29,13.13,0.0,36.5,18.25,17.19,0.91,-8.63,0.91,0.0,5.4,7.02,5.73,0.0,4.07,6.92,5.82,0.0,48.71,1,0,1,1+2+10,+,1+6+8+10,+,3242,5479,0.12,0.09,521,1895
6084,STAR MEDIA GROUP BERHAD,Telecommunications & Media,2018-12-01,10,0.38,0.225,0.68,1.11,49.0,0.77,2.03,2.0,5.26,0.69,0.61,0.02,0.0,13.76,5.71,48.5,27.1,15.28,0.0,-65.97,-48.37,-27.94,8.76,9.56,8.62,8.76,8.15,15.06,11.4,8.15,52.92,1,0,0,1+2+3+5+6+10,+,1+2+3+5+6+10,+,974,393,0.2,0.01,338,-25
6025,BERJAYA MEDIA BERHAD,Telecommunications & Media,2019-04-01,10,0.105,0.075,0.27,-0.04,-2.0,-5.19,-49.43,0.0,0.0,129.75,-187.92,0.0,0.0,-38.18,-46.0,25.0,-10.5,-3.58,0.0,0.0,0.0,0.0,-19.15,-26.94,-25.32,-19.15,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+4+5+8+10,1+2+3+4+5+7+8+10,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8,47,26,-0.02,-0.07,5,0
6012,MAXIS BERHAD,Telecommunications & Media,2019-12-01,10,5.34,4.59,5.81,0.9,28.0,18.77,3.51,20.0,3.75,20.86,21.36,1.12,1.12,21.97,16.12,30.29,23.2,25.25,0.0,-10.22,-3.25,-3.34,3.7,4.18,4.09,3.7,4.85,3.61,3.75,4.85,117.4,1,0,1,6+9,+,1+2+6+7+8,+,8869,9313,0.0,0.19,4091,3379
5252,SASBADI HOLDINGS BERHAD,Telecommunications & Media,2019-08-01,7,0.13,0.085,0.21,0.38,19.0,0.7,5.38,0.0,0.0,1.84,2.1,0.08,0.08,11.7,0.0,56.25,28.12,28.88,0.0,-42.61,-27.04,0.0,2.83,2.79,2.8,0.0,0.44,0.41,0.53,0.0,14.43,1,0,0,1+2+7,+,2+3+6+7,+,78,88,0.04,0.01,18,11
5090,MEDIA CHINESE INTERNATIONAL LIMITED,Telecommunications & Media,2019-03-01,10,0.185,0.12,0.255,0.4175,-8.0,-2.44,-13.19,1.13,6.11,-5.84,-6.18,0.01,0.0,7.08,-36.5,43.0,3.25,20.79,0.0,0.0,0.0,0.0,1.32,-2.43,-0.31,1.32,1.69,1.43,1.43,1.69,55.49,0,0,1,2+3+4+5+6+10,1+2,1+2+3+4+5+6+7+10,,376,286,0.02,-0.01,24,15
5031,TIME DOTCOM BERHAD,Telecommunications & Media,2019-12-01,10,10.18,8.3,10.22,4.73,20.0,52.1,5.12,29.03,2.85,11.01,11.88,0.05,0.05,46.26,3.17,30.33,16.75,15.02,11.86,-8.84,11.86,23.29,9.29,5.03,6.95,9.29,0.41,0.79,0.81,0.41,6.37,1,0,0,9,+,3+4+6,+,321,1114,0.21,0.53,0,0
4863,TELEKOM MALAYSIA BERHAD,Telecommunications & Media,2019-12-01,10,4.28,2.64,4.68,1.9527,25.0,16.8,3.93,10.0,2.34,8.6,8.5,1.27,1.27,8.32,10.32,66.5,38.41,27.5,0.0,-6.76,-6.12,-0.86,4.63,3.25,3.15,4.63,4.16,2.79,3.06,4.16,83.6,1,0,0,1+2,+,2+5+6+7+9,+,8791,11434,0.34,0.17,0,0
4502,MEDIA PRIMA BERHAD,Telecommunications & Media,2018-12-01,10,0.15,0.11,0.52,0.5392,-1.0,-16.03,-106.87,0.0,0.0,-29.73,7.44,0.32,0.0,4.0,-15.2,18.14,1.47,7.62,0.0,-24.94,-22.71,-6.33,-9.99,-53.24,-28.58,-9.99,6.64,7.81,8.63,6.64,45.95,0,0,1,1+2+3+4+5+10,2+3,1+2+3+5+8+9+10,,744,1183,0.23,0.05,86,22
0172,OCK GROUP BERHAD,Telecommunications & Media,2018-12-01,7,0.5,0.345,0.665,0.54,17.0,2.93,5.86,0.0,0.0,5.43,5.68,0.84,0.74,7.37,14.17,30.0,22.08,22.1,0.0,-15.11,-0.91,0.0,4.86,5.17,5.31,0.0,0.4,0.94,0.56,0.0,8.84,1,0,0,1+7,+,2+3+5+6+7,+,139,457,0.03,0.03,-8,45
0159,ASIA MEDIA GROUP BERHAD,Telecommunications & Media,2018-12-01,8,0.05,0.03,0.09,-1.69,-4.0,-1.32,-26.4,0.0,0.0,0.78,-222.16,0.0,0.0,-156.46,-3.25,14.5,5.62,1.61,0.0,0.0,0.0,0.0,-12.43,-35.12,-131.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+3+4+5+6+8,1+3+4+5,1+2+3+4+5+6+7+8,1+3+6+7,37,13,0.28,-0.11,44,-3
