code,nYear,ROI,ROI avg,ROI std,ROE avg,ROE std,EPS GR avg,EPS GR std,NPM avg,NPM std,P/E,P/E mid,P/E avg,P/E std,EPS,EPS avg,EPS std,DPS,DPS avg,DPS std,DPayout avg,DPayout std,DY avg,DY std,price,nMerge,nSplit,Annual,category,current_price,52w low,52w high,market cap,NTA,name
5100,10,11.35,10.12,3.68,9.74,2.53,9.67,43.85,5.93,1.8,8.81,11.14,11.14,3.57,11.23,8.26,2.23,6.0,5.2,1.66,65.98,22.28,6.06,1.25,0.99,0,0,2018-12-31,Industrial Products & Services,1.03,0.955,1.17,193.3M,1.0,BP PLASTICS HOLDING BHD
1171,10,11.22,11.68,4.77,18.88,12.99,19.74,59.67,18.99,9.35,8.91,15.86,10.85,6.12,10.32,20.6,13.54,0.0,7.38,9.29,37.21,28.6,4.03,3.93,0.92,0,0,2018-12-31,Financial Services,0.8,0.775,1.08,"5,370.7M",1.2909,MALAYSIA BUILDING SOCIETY BERHAD
3514,10,11.15,10.83,2.13,10.92,2.91,8.58,26.3,10.18,2.14,8.97,11.32,9.68,2.37,1.34,1.58,0.38,0.3,0.75,0.74,41.27,38.09,4.98,4.84,0.12,0,0,2018-12-31,Consumer Products & Services,0.11,0.105,0.135,116.0M,0.19,MARCO HOLDINGS BERHAD
6017,10,10.88,10.38,2.2,8.3,3.42,15.89,42.9,29.98,11.74,9.19,12.14,10.21,2.78,26.12,23.43,11.4,8.0,7.3,6.48,23.4,20.82,2.74,2.41,2.4,0,0,2019-03-31,Property,2.28,2.24,2.81,552.0M,3.33,SHL CONSOLIDATED BHD
1066,10,10.87,9.92,1.04,12.9,4.67,7.95,34.49,19.87,2.77,9.2,11.04,10.21,1.21,57.49,60.48,17.2,20.5,18.25,6.02,33.24,14.55,2.87,0.91,5.29,0,0,2018-12-31,Financial Services,5.75,5.21,6.07,"23,057.8M",6.44,RHB BANK BERHAD
6718,10,10.7,14.75,5.61,8.4,4.84,31.83,84.9,23.01,11.55,9.34,13.02,8.45,4.91,13.38,26.86,16.36,6.0,9.5,3.98,41.82,13.97,5.56,1.82,1.25,0,0,2019-01-31,Property,1.19,1.15,1.44,333.8M,3.22,CRESCENDO CORPORATION BERHAD
6645,10,10.62,6.68,1.64,26.35,3.19,11.41,18.6,36.1,6.96,9.41,17.06,15.86,3.82,44.72,29.5,10.3,25.0,20.5,3.77,74.46,16.22,4.76,0.64,4.21,0,0,2019-03-31,Transportation & Logistics,4.72,4.11,5.0,"2,507.7M",1.9354,LINGKARAN TRANS KOTA HOLDINGS BERHAD
7252,10,10.5,11.81,7.33,14.78,8.92,347.28,862.13,6.86,3.83,9.53,66.25,27.74,42.38,10.13,9.69,6.38,3.0,2.51,2.67,19.07,11.57,2.41,2.0,0.965,0,0,2018-12-31,Consumer Products & Services,1.15,1.02,1.43,345.0M,1.02,TEO SENG CAPITAL BERHAD
3301,10,9.23,10.78,3.88,15.63,4.33,18.84,73.01,12.47,4.1,10.83,18.06,11.29,6.69,104.2,67.16,23.76,50.0,32.45,11.61,53.65,28.88,4.88,0.9,11.28,0,0,2019-06-30,Consumer Products & Services,9.6,9.19,11.6,"3,147.9M",5.39,HONG LEONG INDUSTRIES BERHAD
2194,10,8.71,7.89,7.27,6.48,4.99,37.27,102.02,11.56,8.82,11.48,21.4,21.0,11.6,7.2,16.79,14.47,0.0,1.5,1.87,13.43,17.88,0.56,0.7,0.83,0,0,2018-12-31,Transportation & Logistics,0.88,0.84,1.25,"2,679.7M",2.99,MMC CORPORATION BERHAD
3174,10,8.7,15.38,7.06,10.72,5.35,8.44,75.26,50.69,36.0,11.5,15.42,8.95,6.5,1.31,5.94,3.8,0.01,0.36,0.71,11.78,23.3,1.49,2.98,0.15,0,0,2019-03-31,Property,0.135,0.13,0.17,401.4M,0.3719,LAND & GENERAL BERHAD
2488,10,8.49,7.97,0.57,11.51,1.7,6.53,12.73,35.31,4.41,11.78,13.2,12.62,0.97,34.7,32.1,4.9,16.7,15.07,5.98,45.58,13.2,3.65,1.18,4.09,0,0,2019-03-31,Financial Services,2.47,2.38,4.26,"3,823.8M",3.8,ALLIANCE BANK MALAYSIA BERHAD
8117,10,8.46,17.33,19.65,7.81,6.68,92.51,222.57,23.52,22.58,11.82,22.53,12.73,11.06,3.72,6.06,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0,0,2019-02-28,Industrial Products & Services,0.33,0.33,0.48,52.8M,1.0541,POLY GLASS FIBRE (M) BERHAD
7811,10,8.32,13.81,6.33,10.88,6.88,10.19,57.64,3.67,1.8,12.03,12.5,9.19,4.85,5.82,13.08,7.66,2.0,7.48,7.32,53.57,27.9,7.33,6.53,0.7,0,0,2019-01-31,Industrial Products & Services,0.67,0.65,0.815,48.8M,1.44,SAPURA INDUSTRIAL BERHAD
7178,10,7.98,9.85,2.14,8.2,1.54,8.08,30.13,9.61,1.71,12.53,12.73,10.74,2.84,22.05,15.44,4.11,7.0,4.25,3.54,25.14,21.9,2.34,2.13,2.75,0,0,2018-12-31,Health Care,2.2,2.11,2.98,307.1M,2.34,Y.S.P.SOUTHEAST ASIA HOLDING BERHAD
1155,10,7.73,7.36,1.36,12.0,2.36,8.55,38.35,19.06,2.0,12.94,20.13,14.46,4.77,74.2,65.8,13.32,57.0,54.45,10.08,84.07,11.5,6.16,1.2,9.5,0,0,2018-12-31,Financial Services,8.51,8.35,9.66,"95,664.0M",7.0544,MALAYAN BANKING BERHAD
0099,10,6.93,7.55,2.84,29.45,10.24,9.81,27.33,14.63,5.26,14.42,14.86,14.99,4.84,5.69,7.42,3.16,5.5,5.65,2.87,73.61,18.63,5.13,1.05,0.82,0,0,2019-06-30,Industrial Products & Services,1.05,0.75,1.38,373.2M,0.29,SCICOM (MSC) BERHAD
9598,10,6.48,10.19,5.85,12.54,5.11,10.85,54.54,20.38,6.41,15.44,18.27,14.34,8.99,15.7,31.17,17.69,12.0,18.4,3.44,84.91,61.06,6.11,1.71,2.43,0,0,2019-06-30,Construction,2.98,2.05,3.43,494.3M,1.95,PINTARAS JAYA BHD
5121,10,6.46,8.95,4.84,8.44,4.37,74.0,248.76,41.26,21.83,15.48,66.3,23.22,35.02,7.17,12.23,6.49,9.01,10.22,0.48,165.6,240.2,7.52,0.71,1.11,0,0,2018-12-31,Real Estate Investment Trusts,0.965,0.94,1.17,445.8M,1.3787,HEKTAR REAL ESTATE INVESTMENT TRUST
5031,10,6.11,7.89,8.59,12.63,8.5,120.0,208.01,44.54,28.65,16.38,74.86,41.58,45.68,49.56,41.95,34.78,20.56,15.42,23.96,25.89,31.96,2.0,3.13,8.1,0,0,2018-12-31,Telecommunications & Media,9.25,7.75,9.5,"5,416.2M",4.58,TIME DOTCOM BERHAD
7237,9,5.58,6.06,3.02,12.38,5.78,25.72,63.54,8.03,4.14,17.93,24.16,16.13,12.39,7.1,8.22,5.24,8.0,7.72,3.4,125.93,86.07,6.31,3.57,1.27,0,0,2019-03-31,Consumer Products & Services,2.22,1.26,2.45,908.2M,0.6,POWER ROOT BERHAD
9741,10,5.01,25.96,47.26,57.86,133.13,52.51,147.75,5.64,3.79,19.95,125.48,33.4,72.52,3.26,50.23,66.38,1.5,7.35,8.91,32.97,32.94,2.92,3.22,0.68,0,0,2018-12-31,Industrial Products & Services,0.595,0.49,0.79,281.2M,0.7,ROHAS TECNIC BERHAD
5212,9,4.97,6.99,4.02,8.69,4.86,553.19,1579.37,73.48,47.31,20.14,136.24,42.75,79.01,8.64,10.59,5.42,8.5,7.18,2.45,79.23,23.97,4.62,1.54,1.74,0,0,2019-12-31,Real Estate Investment Trusts,1.72,1.67,1.92,"5,230.7M",1.2677,PAVILION REAL ESTATE INV TRUST
3476,10,2.75,8.86,8.2,6.38,4.52,11.25,62.1,11.8,8.15,36.32,38.06,21.66,19.03,11.23,34.5,22.6,4.0,9.55,1.88,43.18,39.68,2.15,0.69,4.08,0,0,2018-12-31,Industrial Products & Services,4.5,4.26,5.0,"1,626.6M",6.15,KECK SENG (MALAYSIA) BERHAD
