name,category,Annual,nMerge,nSplit,NTA,current_price,52w low,52w high,market cap,code,nYear,price,ROI,ROI avg,ROI std,ROE avg,ROE std,EPS GR avg,EPS GR std,EPS,EPS avg,EPS std,NPM avg,NPM std,P/E,P/E mid,P/E avg,P/E std,DPS,DPS avg,DPS std,DPayout avg,DPayout std,DY avg,DY std
UOA REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.6708,1.21,1.2,1.48,511.7M,5110,10,1.23,3.81,8.71,3.5,8.14,3.36,5.64,57.33,4.69,12.83,5.45,63.7,24.7,26.22,16.18,13.4,5.41,9.11,10.02,0.81,91.54,38.65,6.89,0.73
HOMERITZ CORPORATION BERHAD,Consumer Products & Services,2019-08-31,0,0,0.55,0.63,0.585,0.75,189.0M,5160,10,0.635,11.61,15.35,6.16,21.95,7.44,-0.29,27.43,7.37,8.45,1.88,16.3,2.24,8.61,7.72,7.51,2.58,3.0,3.79,1.02,44.6,5.65,6.76,2.55
UOA DEVELOPMENT BHD,Property,2018-12-31,0,0,2.52,1.96,1.87,2.42,"3,855.6M",5200,7,2.12,9.69,13.19,2.45,13.31,2.9,-10.05,40.76,21.26,28.19,6.67,35.44,22.3,10.32,8.0,7.85,1.46,14.0,13.86,1.12,51.0,8.82,6.61,0.36
HAP SENG CONSOLIDATED BERHAD,Industrial Products & Services,2018-12-31,0,0,2.86,9.41,9.31,10.26,"23,427.9M",3034,10,9.85,4.67,10.72,6.72,15.35,4.81,10.76,14.02,46.01,31.46,11.47,17.18,5.12,21.41,13.08,12.95,6.53,35.0,23.35,10.14,74.68,26.94,6.39,3.49
POWER ROOT BERHAD,Consumer Products & Services,2019-03-31,0,0,0.6,2.22,1.26,2.45,908.2M,7237,9,1.27,5.58,6.06,3.02,12.38,5.78,25.72,63.54,7.1,8.22,5.24,8.03,4.14,17.93,24.16,16.13,12.39,8.0,7.72,3.4,125.93,86.07,6.31,3.57
YTL HOSPITALITY REIT,Real Estate Investment Trusts,2019-06-30,0,0,1.5836,1.3,1.26,1.39,"2,215.7M",5109,6,1.34,4.58,5.69,3.85,4.95,3.05,298.19,700.02,6.14,6.07,4.4,28.52,32.57,21.82,-69.63,-13.52,68.42,7.87,6.81,1.59,96.48,22.86,6.26,1.32
MALAYAN BANKING BERHAD,Financial Services,2018-12-31,0,0,7.0544,8.51,8.35,9.66,"95,664.0M",1155,10,9.5,7.73,7.36,1.36,12.0,2.36,8.55,38.35,74.2,65.8,13.32,19.06,2.0,12.94,20.13,14.46,4.77,57.0,54.45,10.08,84.07,11.5,6.16,1.2
PINTARAS JAYA BHD,Construction,2019-06-30,0,0,1.95,2.98,2.05,3.43,494.3M,9598,10,2.43,6.48,10.19,5.85,12.54,5.11,10.85,54.54,15.7,31.17,17.69,20.38,6.41,15.44,18.27,14.34,8.99,12.0,18.4,3.44,84.91,61.06,6.11,1.71
BP PLASTICS HOLDING BHD,Industrial Products & Services,2018-12-31,0,0,1.0,1.03,0.955,1.17,193.3M,5100,10,0.99,11.35,10.12,3.68,9.74,2.53,9.67,43.85,11.23,8.26,2.23,5.93,1.8,8.81,11.14,11.14,3.57,6.0,5.2,1.66,65.98,22.28,6.06,1.25
VSTECS BERHAD,Technology,2018-12-31,0,0,1.68,1.31,0.95,1.67,235.8M,5162,9,0.96,14.25,16.84,6.93,13.8,3.62,-5.84,12.45,13.7,17.97,4.16,1.72,0.66,7.02,5.98,6.71,1.91,5.0,6.67,1.87,37.49,8.59,6.04,1.93
AMANAH HARTA TANAH PNB,Real Estate Investment Trusts,2019-12-31,0,0,1.2824,0.79,0.735,0.83,173.8M,4952,10,0.765,76.01,14.39,20.8,9.01,12.29,87.58,266.91,5.81,7.3,3.34,47.6,21.72,1.32,59.4,23.02,32.24,5.75,5.76,1.43,132.21,143.5,5.96,1.4
TOWER REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-06-30,0,0,1.8996,0.78,0.76,0.925,218.8M,5111,9,0.88,5.6,8.08,4.7,6.36,3.26,6.14,52.48,4.93,10.47,6.96,64.31,34.4,17.85,8.93,11.3,5.56,6.9,7.43,3.29,83.54,29.45,5.92,2.39
MAGNUM BERHAD,Consumer Products & Services,2018-12-31,0,0,1.72,2.56,2.13,2.9,"3,680.6M",3859,10,1.95,3.78,8.7,3.97,10.54,3.37,-10.65,22.03,7.36,20.71,8.52,9.72,3.13,26.49,16.25,13.87,5.71,15.0,14.4,3.75,86.44,48.82,5.91,1.1
TAMBUN INDAH LAND BERHAD,Property,2018-12-31,0,0,1.45,0.67,0.63,0.835,290.4M,5191,9,0.755,16.92,17.18,2.03,34.44,43.15,-4.94,38.2,12.78,27.88,25.33,26.79,15.74,5.91,3.82,5.25,2.0,6.7,5.78,3.18,33.36,19.91,5.89,3.85
HEINEKEN MALAYSIA BERHAD,Consumer Products & Services,2018-12-31,0,0,1.0,28.2,20.68,28.76,"8,519.2M",3255,10,20.46,4.57,5.7,1.44,58.6,22.5,11.2,32.86,93.52,75.91,25.91,12.79,1.22,21.88,19.02,18.58,4.23,94.0,79.8,32.28,104.56,26.36,5.89,1.79
FOCUS LUMBER BERHAD,Industrial Products & Services,2018-12-31,0,0,1.71,1.0,0.985,1.87,106.9M,5197,9,1.51,18.1,14.13,3.46,12.65,3.84,21.38,54.44,27.48,17.26,6.75,9.75,4.32,5.52,5.2,6.67,2.9,16.0,7.31,6.04,37.57,30.45,5.85,5.74
ZHULIAN CORPORATION BERHAD,Consumer Products & Services,2019-11-30,0,0,1.3361,1.49,1.32,1.68,685.4M,5131,10,1.46,7.37,8.34,2.39,15.65,7.63,-1.36,23.92,10.77,15.59,6.29,25.64,3.06,13.56,14.55,13.12,4.04,12.0,10.7,3.34,72.37,18.6,5.65,1.64
MATRIX CONCEPTS HOLDINGS BERHAD,Property,2019-03-31,0,0,1.86,1.91,1.87,2.02,"1,571.6M",5236,6,1.89,15.29,16.39,2.39,25.46,8.09,-10.35,18.67,28.91,42.33,13.52,15.65,13.01,6.54,6.33,6.17,1.04,12.75,13.13,6.29,35.33,15.9,5.65,2.58
ATLAN HOLDINGS BHD,Consumer Products & Services,2019-02-28,0,0,2.03,4.05,3.92,4.8,"1,027.3M",7048,10,4.4,3.57,6.34,4.48,16.68,11.77,32.8,102.12,15.73,27.8,20.07,11.51,7.43,27.97,16.9,20.98,7.72,20.0,25.15,14.33,106.23,40.4,5.62,2.86
UPA CORPORATION BHD,Consumer Products & Services,2018-12-31,0,0,3.29,2.18,2.05,2.3,173.5M,7757,10,2.26,5.25,12.82,4.33,8.68,3.43,5.69,39.74,12.67,22.79,11.89,12.34,6.11,19.04,12.02,8.97,3.89,8.0,9.5,2.94,47.43,13.85,5.61,1.31
CAPITALAND MALAYSIA MALL TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.2378,0.975,0.965,1.14,"2,000.5M",5180,10,1.0,3.54,7.05,1.94,8.28,2.88,-4.75,24.51,3.55,9.89,3.3,64.47,26.16,28.26,19.5,15.66,5.58,6.25,7.69,1.6,87.44,36.95,5.6,1.24
CRESCENDO CORPORATION BERHAD,Property,2019-01-31,0,0,3.22,1.19,1.15,1.44,333.8M,6718,10,1.25,10.7,14.75,5.61,8.4,4.84,31.83,84.9,13.38,26.86,16.36,23.01,11.55,9.34,13.02,8.45,4.91,6.0,9.5,3.98,41.82,13.97,5.56,1.82
AL-AQAR HEALTHCARE REIT,Real Estate Investment Trusts,2018-12-31,0,0,1.2930000000000001,1.36,1.19,1.65,"1,000.9M",5116,10,1.31,9.48,8.17,1.72,8.87,1.32,4.29,26.41,12.54,10.52,1.57,74.13,14.33,10.55,13.33,12.78,2.59,9.58,7.14,2.22,68.12,19.69,5.54,1.7
APEX EQUITY HOLDINGS BERHAD,Financial Services,2018-12-31,0,0,1.48,0.77,0.77,1.08,164.4M,5088,10,0.94,4.3,8.16,3.18,6.34,2.35,-0.98,29.44,4.04,8.84,3.23,36.23,8.81,23.24,18.23,14.93,7.02,0.0,6.3,5.83,61.86,42.53,5.52,5.07
ATRIUM REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.2786,1.06,1.02,1.27,216.9M,5130,10,1.04,1.64,10.21,4.43,9.11,4.51,2.08,29.76,7.18,11.72,4.81,92.7,43.01,60.98,33.74,15.83,16.24,6.63,6.32,2.98,56.95,28.71,5.51,2.53
SUNWAY REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-06-30,0,0,1.4901,1.8,1.74,1.98,"5,301.1M",5176,9,1.87,7.02,10.1,3.46,12.06,3.42,-2.48,21.9,12.98,15.09,2.72,87.03,41.07,14.25,10.24,10.83,2.88,9.59,8.56,0.95,59.17,14.47,5.5,0.25
AMWAY (MALAYSIA) HOLDINGS BERHAD,Consumer Products & Services,2018-12-31,0,0,1.33,5.6,5.5,6.3,920.6M,6351,10,6.0,5.53,5.26,0.67,35.43,8.57,-1.6,14.37,33.16,47.15,12.2,9.35,3.17,18.09,20.4,19.36,2.68,27.5,49.0,15.1,103.06,16.92,5.45,1.29
DOMINANT ENTERPRISE BERHAD,Industrial Products & Services,2019-03-31,0,0,1.69,1.24,1.2,1.3,204.9M,7169,10,1.26,12.56,13.45,3.74,9.73,1.7,10.67,39.41,15.82,13.36,3.13,3.98,0.73,7.96,10.26,8.15,2.82,7.0,5.2,1.25,40.09,8.68,5.36,1.98
OSK HOLDINGS BERHAD,Property,2018-12-31,0,0,2.37,0.98,0.835,1.05,"2,053.4M",5053,10,0.87,19.15,19.16,17.98,11.33,9.83,156.46,503.3,16.66,27.96,25.96,96.24,120.52,5.22,16.23,9.77,8.04,5.0,7.85,4.75,32.77,15.94,5.26,2.92
CREST BUILDER HOLDINGS BERHAD,Construction,2018-12-31,0,0,2.95,0.96,0.89,1.21,169.8M,8591,10,0.87,47.61,21.44,14.4,7.6,4.08,38.61,72.9,41.4,17.84,11.0,7.86,6.19,2.1,9.62,7.08,4.51,4.5,4.1,0.57,31.22,15.92,5.14,2.13
APOLLO FOOD HOLDINGS BERHAD,Consumer Products & Services,2019-04-30,0,0,3.14,3.54,3.52,4.09,283.2M,6432,10,3.85,5.71,7.35,2.31,9.94,2.88,2.02,33.04,22.0,28.93,8.59,11.59,3.07,17.5,18.82,15.33,5.76,20.0,21.0,7.68,80.24,37.55,5.14,1.97
SCICOM (MSC) BERHAD,Industrial Products & Services,2019-06-30,0,0,0.29,1.05,0.75,1.38,373.2M,0099,10,0.82,6.93,7.55,2.84,29.45,10.24,9.81,27.33,5.69,7.42,3.16,14.63,5.26,14.42,14.86,14.99,4.84,5.5,5.65,2.87,73.61,18.63,5.13,1.05
APM AUTOMOTIVE HOLDINGS BERHAD,Industrial Products & Services,2018-12-31,0,0,6.38,2.23,1.95,3.2,449.6M,5015,10,2.68,7.33,10.09,2.76,9.24,4.84,-2.63,28.6,19.65,43.11,17.7,8.37,2.99,13.64,12.58,10.8,3.36,12.0,21.3,8.84,52.08,11.73,5.06,1.29
IGB REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.0663,1.92,1.74,2.1,"6,819.5M",5227,8,1.89,4.71,5.52,1.25,7.85,1.48,13.18,35.73,8.91,8.3,1.62,56.58,35.74,21.23,21.26,19.13,4.7,9.16,7.65,2.32,89.65,21.54,5.01,1.43
MARCO HOLDINGS BERHAD,Consumer Products & Services,2018-12-31,0,0,0.19,0.11,0.105,0.135,116.0M,3514,10,0.12,11.15,10.83,2.13,10.92,2.91,8.58,26.3,1.34,1.58,0.38,10.18,2.14,8.97,11.32,9.68,2.37,0.3,0.75,0.74,41.27,38.09,4.98,4.84
FAVELLE FAVCO BERHAD,Industrial Products & Services,2018-12-31,0,0,3.09,2.71,2.49,3.02,606.7M,7229,10,2.3,12.57,15.55,3.86,15.68,3.79,8.31,23.66,28.91,29.97,8.44,9.98,2.38,7.96,7.27,6.86,1.76,13.5,10.2,3.99,33.57,8.98,4.95,0.81
COCOALAND HOLDINGS BERHAD,Consumer Products & Services,2018-12-31,0,0,1.14,1.83,1.8,2.22,418.7M,7205,10,1.94,6.96,6.94,2.52,12.93,3.75,2.49,27.62,13.51,13.46,2.95,11.26,2.77,14.36,20.49,16.5,6.52,6.0,9.72,6.58,71.07,43.18,4.91,3.28
HONG LEONG INDUSTRIES BERHAD,Consumer Products & Services,2019-06-30,0,0,5.39,9.6,9.19,11.6,"3,147.9M",3301,10,11.28,9.23,10.78,3.88,15.63,4.33,18.84,73.01,104.2,67.16,23.76,12.47,4.1,10.83,18.06,11.29,6.69,50.0,32.45,11.61,53.65,28.88,4.88,0.9
ASIA FILE CORPORATION BHD,Consumer Products & Services,2019-03-31,0,0,3.08,2.0,2.0,2.62,389.5M,7129,10,2.55,9.62,9.38,1.48,13.32,4.09,-5.08,20.84,24.53,35.66,7.99,16.96,2.76,10.4,11.92,10.97,1.96,14.0,19.13,4.37,54.09,6.93,4.84,0.96
MAXIS BERHAD,Telecommunications & Media,2018-12-31,0,0,0.91,5.45,5.07,5.81,"42,621.7M",6012,10,5.35,4.26,4.41,0.97,31.27,6.46,-0.86,12.98,22.8,26.41,3.51,22.44,3.04,23.49,23.6,23.75,5.02,20.0,29.5,10.59,112.97,42.28,4.83,1.73
MUAR BAN LEE GROUP BERHAD,Industrial Products & Services,2018-12-31,0,0,1.33,1.31,1.01,1.49,140.7M,5152,10,1.01,12.9,14.28,8.47,13.94,8.98,9.24,51.63,13.03,11.55,5.19,14.58,8.38,7.75,10.31,9.32,4.56,3.0,4.15,2.41,42.93,29.4,4.83,2.48
TURBO-MECH BERHAD,Industrial Products & Services,2018-12-31,0,0,0.99,0.66,0.56,0.84,71.3M,5167,10,0.74,8.19,10.31,4.28,11.35,5.37,5.33,52.29,6.06,7.87,2.93,18.9,6.81,12.21,15.4,11.31,8.15,2.0,3.45,2.57,38.98,28.45,4.82,4.06
UNITED PLANTATIONS BERHAD,Plantation,2014-12-31,0,0,12.28,26.1,24.5,27.8,"5,432.3M",2089,10,24.4,5.48,8.06,2.52,15.48,2.67,10.44,25.73,133.8,122.72,36.18,27.37,2.95,18.24,14.32,13.57,3.95,165.0,82.82,43.05,65.07,24.51,4.82,1.08
LINGKARAN TRANS KOTA HOLDINGS BERHAD,Transportation & Logistics,2019-03-31,0,0,1.9354,4.72,4.11,5.0,"2,507.7M",6645,10,4.21,10.62,6.68,1.64,26.35,3.19,11.41,18.6,44.72,29.5,10.3,36.1,6.96,9.41,17.06,15.86,3.82,25.0,20.5,3.77,74.46,16.22,4.76,0.64
ELK-DESA RESOURCES BERHAD,Financial Services,2019-03-31,0,0,1.41,1.63,1.3,1.77,484.3M,5228,8,1.39,8.0,9.39,1.11,7.86,1.3,-3.53,12.22,11.22,12.71,1.95,24.69,13.24,12.51,6.56,9.47,3.8,7.0,6.09,2.33,50.44,20.05,4.74,1.81
BERMAZ AUTO BERHAD,Consumer Products & Services,2019-04-30,0,0,0.4164,1.87,1.74,2.78,"2,175.8M",5248,7,2.4,9.53,7.09,1.65,39.48,11.54,30.34,59.87,22.86,15.13,5.07,6.27,4.49,10.5,10.36,12.79,6.21,21.25,11.44,6.62,70.94,37.57,4.68,2.79
BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,Consumer Products & Services,2018-12-31,0,0,1.32,12.26,10.22,37.68,"3,500.6M",4162,10,36.08,4.55,5.09,0.64,150.59,22.03,-3.65,12.46,164.1,256.12,49.59,18.23,1.06,21.99,20.09,19.96,2.46,155.0,229.8,69.42,91.37,23.03,4.67,1.33
KUMPULAN FIMA BERHAD,Industrial Products & Services,2019-03-31,0,0,2.84,1.59,1.55,1.8,448.7M,6491,10,1.66,12.8,12.67,4.5,9.92,4.22,4.46,33.84,21.25,21.6,6.28,17.77,5.2,7.81,11.24,9.12,3.76,9.0,8.05,1.19,42.9,20.96,4.63,0.68
WILLOWGLEN MSC BERHAD,Technology,2018-12-31,0,0,0.33,0.56,0.325,0.645,277.8M,0008,10,0.505,4.52,10.72,3.69,15.9,4.49,0.03,36.12,2.28,5.87,1.95,15.48,3.38,22.12,13.75,10.69,4.47,1.0,2.05,0.91,40.8,23.02,4.63,3.12
MINTYE BERHAD,Consumer Products & Services,2019-01-31,0,0,1.78,1.36,0.76,1.36,82.7M,5886,10,0.8,3.44,5.45,2.12,3.75,1.64,-8.66,27.89,2.75,6.55,2.76,7.86,3.12,29.06,25.86,21.3,8.65,3.0,5.8,4.16,97.19,51.15,4.63,2.79
PAVILION REAL ESTATE INV TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.2677,1.72,1.67,1.92,"5,230.7M",5212,9,1.74,4.97,6.99,4.02,8.69,4.86,553.19,1579.37,8.64,10.59,5.42,73.48,47.31,20.14,136.24,42.75,79.01,8.5,7.18,2.45,79.23,23.97,4.62,1.54
MALAKOFF CORPORATION BERHAD,Utilities,2018-12-31,0,0,1.13,0.865,0.785,0.96,"4,325.0M",5264,5,0.8,6.97,6.04,0.68,4.97,2.31,-9.17,11.61,5.64,7.69,1.75,3.31,3.52,14.34,9.64,13.42,6.91,5.6,6.35,0.56,86.11,16.28,4.56,2.46
BURSA MALAYSIA BERHAD,Financial Services,2019-12-31,0,0,0.94,5.86,5.4,7.35,"4,737.8M",1818,10,6.09,3.77,4.04,0.51,21.93,4.32,2.3,16.86,23.0,31.25,6.35,38.41,2.82,26.49,29.2,25.25,4.05,20.8,35.54,12.51,111.59,24.16,4.54,1.21
FREIGHT MANAGEMENT HOLDINGS BERHAD,Transportation & Logistics,2019-06-30,0,0,1.05,0.61,0.55,0.7,170.3M,7210,10,0.6,8.12,11.37,4.14,12.04,4.49,-7.19,19.05,4.87,12.07,2.86,5.34,1.36,12.32,8.9,9.75,2.71,3.5,4.7,0.51,41.57,11.51,4.51,1.34
NEW HOONG FATT HOLDINGS BERHAD,Consumer Products & Services,2018-12-31,0,0,5.59,2.5,2.45,2.86,206.7M,7060,10,2.7,6.28,10.45,2.99,6.67,2.33,0.65,35.44,16.94,27.44,7.02,9.44,2.33,15.93,11.18,10.47,3.25,10.0,11.8,1.25,45.06,8.59,4.5,0.82
WESTPORTS HOLDINGS BERHAD,Transportation & Logistics,2019-12-31,0,0,0.7508,3.91,3.45,4.54,"13,333.1M",5246,8,4.21,4.12,4.42,0.5,26.33,2.7,5.41,12.27,17.33,15.81,2.27,24.11,12.4,24.29,13.92,20.07,7.98,13.0,15.32,9.77,99.63,72.99,4.44,4.51
PANASONIC MANUFACTURING MALAYSIA BERHAD,Consumer Products & Services,2019-03-31,0,0,12.62,33.5,33.5,41.2,"2,035.0M",3719,10,37.7,4.62,6.24,1.01,13.26,2.48,6.94,20.66,174.0,161.4,45.24,10.19,1.52,21.66,16.96,16.45,2.71,226.0,112.6,87.63,71.39,54.56,4.39,3.25
AL-SALAM REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2018-12-31,0,0,1.0681,0.83,0.795,0.94,481.4M,5269,4,0.805,8.63,6.47,2.23,5.8,1.95,50.48,95.52,6.95,6.14,2.12,23.26,29.05,11.59,24.06,18.92,10.21,6.15,4.05,2.54,56.24,36.66,4.36,2.92
ENG KAH CORPORATION BERHAD,Consumer Products & Services,2018-12-31,0,0,1.01,0.95,0.82,1.12,67.2M,7149,10,0.935,9.87,5.03,2.67,9.68,5.0,27.34,121.85,9.43,10.55,5.97,9.57,3.98,10.14,40.26,28.63,18.74,0.06,10.86,9.06,108.27,62.79,4.3,3.13
KHIND HOLDINGS BERHAD,Consumer Products & Services,2018-12-31,0,0,3.29,1.56,1.38,1.75,62.5M,7062,10,1.69,2.33,12.15,6.3,8.49,4.46,-1.59,41.83,3.94,20.59,10.6,2.99,1.53,42.9,27.69,15.45,16.0,0.0,7.0,3.55,31.99,13.82,4.29,2.82
TELEKOM MALAYSIA BERHAD,Telecommunications & Media,2018-12-31,0,0,1.9671,3.86,2.6,4.68,"14,535.7M",4863,10,2.66,1.53,4.83,2.22,11.88,4.52,-2.11,39.78,4.08,24.02,8.95,7.99,4.72,65.27,37.81,26.47,14.99,2.0,20.61,6.5,87.05,23.83,4.15,1.92
KLCC REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-12-31,0,0,7.32,7.83,7.68,8.48,"14,135.8M",5235SS,8,7.9,5.54,6.68,1.33,8.5,4.06,-9.76,24.84,43.77,63.2,35.9,71.47,46.03,18.05,9.54,13.6,5.81,38.0,32.57,6.6,63.94,23.75,4.12,1.58
EXCEL FORCE MSC BERHAD,Technology,2018-12-31,0,0,0.19,0.475,0.37,0.745,292.3M,0065,10,0.465,3.44,6.94,4.15,16.95,3.69,-8.19,22.53,1.6,3.16,1.07,34.06,7.55,29.06,55.6,26.73,28.11,1.5,2.15,0.98,78.83,40.56,4.09,2.41
HAP SENG PLANTATIONS HOLDINGS BERHAD,Plantation,2018-12-31,0,0,2.03,1.7,1.4,2.14,"1,360.0M",5138,10,1.64,2.22,6.04,2.19,6.73,2.93,0.92,43.33,3.64,15.91,6.85,25.43,7.94,45.05,26.89,19.3,9.2,2.5,10.65,4.12,68.12,5.7,4.06,1.33
APEX HEALTHCARE BERHAD,Health Care,2018-12-31,0,0,0.87,2.3,1.97,9.83,"1,086.2M",7090,10,7.8,6.4,9.21,3.03,13.63,1.82,6.52,15.42,49.94,32.7,6.61,7.86,1.69,15.62,10.98,11.83,3.04,13.5,13.28,3.1,41.73,11.67,4.03,2.52
MALAYSIA BUILDING SOCIETY BERHAD,Financial Services,2018-12-31,0,0,1.2909,0.8,0.775,1.08,"5,370.7M",1171,10,0.92,11.22,11.68,4.77,18.88,12.99,19.74,59.67,10.32,20.6,13.54,18.99,9.35,8.91,15.86,10.85,6.12,0.0,7.38,9.29,37.21,28.6,4.03,3.93
YOONG ONN CORPORATION BERHAD,Consumer Products & Services,2019-06-30,0,0,1.44,0.91,0.9,1.24,145.6M,5159,10,1.08,13.24,15.01,4.61,13.5,2.93,-0.01,12.37,14.28,13.19,1.6,11.3,0.94,7.55,6.98,7.26,2.0,4.5,3.9,1.77,28.67,11.43,3.98,1.98
THONG GUAN INDUSTRIES BERHAD,Industrial Products & Services,2018-12-31,0,0,3.11,3.93,2.27,3.97,727.8M,7034,10,2.2,15.13,14.88,4.63,9.64,2.26,15.83,43.08,33.29,28.5,10.65,4.77,1.33,6.61,8.3,7.47,2.51,8.0,7.4,2.11,27.13,5.45,3.96,1.15
FRASER & NEAVE HOLDINGS BHD,Consumer Products & Services,2019-09-30,0,0,7.24,33.2,31.78,36.96,"12,177.0M",3689,10,34.9,3.21,5.03,2.97,19.48,7.01,-2.6,22.34,111.9,100.72,34.94,9.52,3.38,31.18,21.65,23.86,7.5,60.0,72.45,32.85,71.63,13.0,3.8,2.77
PETRONAS DAGANGAN BHD,Consumer Products & Services,2018-12-31,0,0,6.05,22.32,21.1,28.48,"22,173.9M",5681,10,26.5,3.23,4.36,1.76,15.12,6.34,7.26,34.96,85.5,86.07,25.84,3.35,1.09,30.99,25.21,26.05,8.02,70.0,73.7,13.76,89.6,19.71,3.79,1.44
TROPICANA CORPORATION BERHAD,Property,2018-12-31,0,0,2.42,0.9,0.805,0.94,"1,323.4M",5401,10,0.89,13.16,17.44,7.54,8.26,3.55,6.69,50.68,11.65,18.51,8.76,18.32,6.49,7.6,7.93,6.9,2.93,1.6,3.9,1.73,24.1,13.43,3.72,1.69
INARI AMERTRON BERHAD,Technology,2019-06-30,0,0,0.3587,1.79,1.27,2.09,"5,775.6M",0166,9,1.6,3.74,8.24,5.1,31.55,12.75,5.8,52.75,6.06,11.39,4.98,14.13,5.35,26.75,14.4,14.71,9.08,5.2,6.09,3.06,60.61,34.53,3.7,2.12
ASTRO MALAYSIA HOLDINGS BERHAD,Telecommunications & Media,2019-01-31,0,0,0.1595,1.22,1.18,1.69,"6,361.7M",6399,7,1.68,5.28,4.84,1.55,109.57,49.76,-6.01,29.83,8.88,12.61,4.38,8.98,5.01,18.92,23.38,22.68,6.74,9.0,9.43,4.09,86.59,36.11,3.7,1.66
