name,category,Annual,nMerge,nSplit,NTA,current_price,52w low,52w high,market cap,code,nYear,price,ROI,ROI avg,ROI std,ROE avg,ROE std,EPS GR avg,EPS GR std,EPS,EPS avg,EPS std,NPM avg,NPM std,P/E,P/E mid,P/E avg,P/E std,DPS,DPS avg,DPS std,DPayout avg,DPayout std,DY avg,DY std
UOA REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.6708,1.23,1.19,1.48,520.1M,5110,10,1.23,3.81,8.71,3.5,8.14,3.36,5.64,57.33,4.69,12.83,5.45,63.7,24.7,26.22,16.18,13.4,5.41,9.11,10.02,0.81,91.54,38.65,6.89,0.73
HOMERITZ CORPORATION BERHAD,Consumer Products & Services,2019-08-31,0,0,0.55,0.545,0.5,0.75,163.5M,5160,10,0.635,11.61,15.35,6.16,21.95,7.44,-0.29,27.43,7.37,8.45,1.88,16.3,2.24,8.61,7.72,7.51,2.58,3.0,3.79,1.02,44.6,5.65,6.76,2.55
UOA DEVELOPMENT BHD,Property,2019-12-31,0,0,2.58,1.82,1.81,2.42,"3,580.2M",5200,8,2.03,10.01,12.79,2.52,12.63,3.25,-8.91,38.25,21.07,27.3,6.67,39.14,18.93,9.99,8.0,8.12,1.53,14.0,13.88,1.05,52.93,9.7,6.65,0.35
LII HEN INDUSTRIES BHD.,Consumer Products & Services,2019-12-31,0,0,2.08,2.42,2.34,3.29,435.6M,7089,10,3.07,14.18,17.28,5.66,18.47,5.71,10.74,40.01,43.53,34.8,7.9,7.85,2.33,7.05,6.35,6.38,1.87,15.5,13.68,4.37,39.03,7.2,6.5,1.61
P.I.E. INDUSTRIAL BERHAD,Industrial Products & Services,2019-12-31,0,0,1.17,1.06,0.99,1.65,407.1M,7095,10,1.45,6.95,8.8,2.75,18.44,20.59,-6.74,31.21,9.52,31.91,21.02,7.88,1.6,14.39,12.32,12.34,3.27,0.0,23.2,13.87,94.67,101.27,6.46,5.64
POWER ROOT BERHAD,Consumer Products & Services,2019-03-31,0,0,0.66,1.89,1.26,2.45,773.6M,7237,9,1.27,5.58,6.06,3.02,12.38,5.78,25.72,63.54,7.1,8.22,5.24,8.03,4.14,17.93,24.16,16.13,12.39,8.0,7.72,3.4,125.93,86.07,6.31,3.57
YTL HOSPITALITY REIT,Real Estate Investment Trusts,2019-06-30,0,0,1.5837,1.1,1.05,1.39,"1,874.8M",5109,6,1.34,4.58,5.69,3.85,4.95,3.05,298.19,700.02,6.14,6.07,4.4,28.52,32.57,21.82,-69.63,-13.52,68.42,7.87,6.81,1.59,96.48,22.86,6.26,1.32
MALAYAN BANKING BERHAD,Financial Services,2019-12-31,0,0,7.2563,7.88,7.85,9.55,"88,581.9M",1155,10,8.64,8.44,7.49,1.39,11.64,2.35,12.84,34.43,73.45,67.75,12.86,18.53,2.02,11.85,20.13,14.24,4.83,64.0,55.35,10.48,82.59,9.94,6.17,1.22
PINTARAS JAYA BHD,Construction,2019-06-30,0,0,1.98,2.73,2.05,3.43,452.8M,9598,10,2.43,6.48,10.19,5.85,12.54,5.11,10.85,54.54,15.7,31.17,17.69,20.38,6.41,15.44,18.27,14.34,8.99,12.0,18.4,3.44,84.91,61.06,6.11,1.71
BP PLASTICS HOLDING BHD,Industrial Products & Services,2019-12-31,0,0,1.02,0.93,0.92,1.13,174.5M,5100,10,1.03,10.97,9.68,3.25,9.66,2.47,8.77,43.93,11.3,8.53,2.41,5.68,1.52,9.12,11.14,11.41,3.3,6.0,5.5,1.5,67.83,20.28,6.11,1.24
MAGNUM BERHAD,Consumer Products & Services,2019-12-31,0,0,1.74,2.09,2.0,2.9,"3,004.9M",3859,10,2.57,6.53,7.68,2.99,9.96,2.96,3.4,47.01,16.78,19.27,7.81,9.39,3.03,15.32,16.84,14.8,5.08,16.0,15.1,3.3,93.09,44.89,6.05,1.04
LUXCHEM CORPORATION BERHAD,Industrial Products & Services,2019-12-31,0,0,0.34,0.45,0.435,0.6,403.1M,5143,10,0.48,8.89,11.18,3.12,19.98,12.64,-4.32,37.03,4.27,10.02,5.31,4.79,0.78,11.24,10.54,9.65,2.67,2.25,6.15,2.37,68.81,27.61,5.98,1.56
AMANAH HARTA TANAH PNB,Real Estate Investment Trusts,2019-12-31,0,0,1.2824,0.71,0.71,0.83,156.2M,4952,10,0.765,76.01,14.39,20.8,9.01,12.29,87.58,266.91,5.81,7.3,3.34,47.6,21.72,1.32,59.4,23.02,32.24,5.75,5.76,1.43,132.21,143.5,5.96,1.4
TOWER REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-06-30,0,0,1.8996,0.67,0.67,0.925,187.9M,5111,9,0.88,5.6,8.08,4.7,6.36,3.26,6.14,52.48,4.93,10.47,6.96,64.31,34.4,17.85,8.93,11.3,5.56,6.9,7.43,3.29,83.54,29.45,5.92,2.39
TAMBUN INDAH LAND BERHAD,Property,2019-12-31,0,0,1.48,0.52,0.5,0.835,225.4M,5191,10,0.72,15.59,17.0,1.98,31.75,41.72,-5.67,36.31,11.22,26.22,24.55,30.0,12.98,6.42,3.82,5.37,1.93,3.9,5.59,3.07,33.5,18.89,5.85,3.65
VSTECS BERHAD,Technology,2019-12-31,0,0,1.71,1.02,0.95,1.67,183.6M,5162,10,1.44,11.48,16.3,6.77,13.39,3.65,-3.21,14.2,16.5,17.82,3.97,1.88,0.34,8.71,6.01,6.91,1.91,5.5,6.55,1.81,37.07,8.24,5.82,1.94
AXIS REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.4484,1.84,1.69,2.01,"2,653.9M",5106,10,1.77,8.24,7.81,1.88,9.94,2.05,-0.98,26.14,16.61,18.22,6.83,79.61,14.19,12.14,13.23,13.41,2.68,9.26,13.3,4.81,74.57,12.09,5.76,0.57
MATRIX CONCEPTS HOLDINGS BERHAD,Property,2019-03-31,0,0,1.91,1.73,1.66,2.0,"1,423.5M",5236,6,1.89,15.29,16.39,2.39,25.46,8.09,-10.35,18.67,28.91,42.33,13.52,15.65,13.01,6.54,6.33,6.17,1.04,12.75,13.13,6.29,35.33,15.9,5.65,2.58
ZHULIAN CORPORATION BERHAD,Consumer Products & Services,2019-11-30,0,0,1.3361,1.22,1.22,1.68,561.2M,5131,10,1.46,7.37,8.34,2.39,15.65,7.63,-1.36,23.92,10.77,15.59,6.29,25.64,3.06,13.56,14.55,13.12,4.04,12.0,10.7,3.34,72.37,18.6,5.65,1.64
ATLAN HOLDINGS BHD,Consumer Products & Services,2019-02-28,0,0,2.03,4.0,3.8,4.8,"1,014.6M",7048,10,4.4,3.57,6.34,4.48,16.68,11.77,32.8,102.12,15.73,27.8,20.07,11.51,7.43,27.97,16.9,20.98,7.72,20.0,25.15,14.33,106.23,40.4,5.62,2.86
HEINEKEN MALAYSIA BERHAD,Consumer Products & Services,2019-12-31,0,0,1.3,21.9,20.76,31.74,"6,615.9M",3255,10,27.12,3.82,5.31,1.37,63.35,21.41,11.53,32.84,103.6,81.57,25.15,13.03,1.08,26.18,19.02,19.9,4.34,108.0,86.5,30.43,106.26,25.73,5.62,1.85
CAPITALAND MALAYSIA MALL TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.2378,0.93,0.9,1.14,"1,908.1M",5180,10,1.0,3.54,7.05,1.94,8.28,2.88,-4.75,24.51,3.55,9.89,3.3,64.47,26.16,28.26,19.5,15.66,5.58,6.25,7.69,1.6,87.44,36.95,5.6,1.24
CRESCENDO CORPORATION BERHAD,Property,2019-01-31,0,0,3.22,0.96,0.945,1.44,269.2M,6718,10,1.25,10.7,14.75,5.61,8.4,4.84,31.83,84.9,13.38,26.86,16.36,23.01,11.55,9.34,13.02,8.45,4.91,6.0,9.5,3.98,41.82,13.97,5.56,1.82
KIM LOONG RESOURCES BERHAD,Plantation,2019-01-31,0,0,0.77,1.08,1.05,1.64,"1,010.2M",5027,10,1.25,4.47,7.93,1.91,12.64,3.07,2.76,39.52,5.58,21.21,7.29,11.52,2.3,22.39,15.16,13.36,3.46,6.0,14.9,5.5,73.17,17.72,5.54,0.85
ATRIUM REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.2786,1.01,0.99,1.27,206.7M,5130,10,1.04,1.64,10.21,4.43,9.11,4.51,2.08,29.76,7.18,11.72,4.81,92.7,43.01,60.98,33.74,15.83,16.24,6.63,6.32,2.98,56.95,28.71,5.51,2.53
SUNWAY REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-06-30,0,0,1.4904,1.8,1.74,1.98,"5,301.1M",5176,9,1.87,7.02,10.1,3.46,12.06,3.42,-2.48,21.9,12.98,15.09,2.72,87.03,41.07,14.25,10.24,10.83,2.88,9.59,8.56,0.95,59.17,14.47,5.5,0.25
DOMINANT ENTERPRISE BERHAD,Industrial Products & Services,2019-03-31,0,0,1.69,1.17,1.07,1.3,193.3M,7169,10,1.26,12.56,13.45,3.74,9.73,1.7,10.67,39.41,15.82,13.36,3.13,3.98,0.73,7.96,10.26,8.15,2.82,7.0,5.2,1.25,40.09,8.68,5.36,1.98
AL-AQAR HEALTHCARE REIT,Real Estate Investment Trusts,2019-12-31,0,0,1.3024,1.36,1.19,1.65,"1,000.9M",5116,10,1.32,7.84,7.91,1.55,8.68,1.3,5.24,25.42,10.35,10.44,1.56,72.44,13.49,12.76,13.33,13.09,2.38,7.8,7.15,2.22,68.76,19.81,5.36,1.55
UPA CORPORATION BHD,Consumer Products & Services,2019-12-31,0,0,3.33,2.13,2.1,2.3,169.5M,7757,10,2.17,6.61,12.14,4.7,8.25,3.67,8.23,39.33,14.34,22.18,12.15,11.89,6.29,15.13,12.02,9.74,4.26,8.0,9.3,2.97,48.13,14.08,5.32,1.38
OSK HOLDINGS BERHAD,Property,2019-12-31,0,0,2.41,0.805,0.79,1.05,"1,686.7M",5053,10,1.04,19.08,20.03,17.75,11.27,9.84,161.0,501.84,19.84,28.21,25.87,98.03,119.45,5.24,16.23,9.33,8.15,5.0,7.6,4.83,30.97,15.68,5.29,2.92
APEX EQUITY HOLDINGS BERHAD,Financial Services,2019-12-31,0,0,1.49,0.69,0.69,1.08,147.4M,5088,10,0.8,3.71,7.36,3.18,5.98,2.69,-3.54,30.41,2.97,8.41,3.67,33.8,10.15,26.98,18.26,16.78,7.5,2.0,6.2,5.9,64.49,41.97,5.28,5.15
AMWAY (MALAYSIA) HOLDINGS BERHAD,Consumer Products & Services,2019-12-31,0,0,1.35,4.94,4.8,6.25,812.1M,6351,10,5.71,5.45,5.2,0.62,34.7,9.26,-3.01,14.06,31.12,45.85,13.11,8.79,3.34,18.35,20.57,19.54,2.54,27.5,46.95,16.43,101.02,17.34,5.27,1.24
HAP SENG CONSOLIDATED BERHAD,Industrial Products & Services,2019-12-31,0,0,2.95,7.7,7.36,10.26,"19,170.5M",3034,10,9.98,4.68,9.0,5.76,16.51,3.1,10.9,13.92,46.71,34.35,11.31,18.29,3.55,21.37,13.08,14.63,6.31,35.0,25.65,9.91,75.43,26.84,5.26,2.16
MARCO HOLDINGS BERHAD,Consumer Products & Services,2019-12-31,0,0,0.19,0.1,0.095,0.13,105.4M,3514,10,0.115,12.79,11.47,1.58,11.06,2.71,3.49,19.9,1.47,1.65,0.27,10.64,1.56,7.82,9.15,8.89,1.26,0.3,0.78,0.71,43.32,36.33,5.24,4.63
APOLLO FOOD HOLDINGS BERHAD,Consumer Products & Services,2019-04-30,0,0,3.14,3.2,3.18,4.09,256.0M,6432,10,3.85,5.71,7.35,2.31,9.94,2.88,2.02,33.04,22.0,28.93,8.59,11.59,3.07,17.5,18.82,15.33,5.76,20.0,21.0,7.68,80.24,37.55,5.14,1.97
SCICOM (MSC) BERHAD,Industrial Products & Services,2019-06-30,0,0,0.29,0.75,0.6,1.3,266.6M,0099,10,0.82,6.93,7.55,2.84,29.45,10.24,9.81,27.33,5.69,7.42,3.16,14.63,5.26,14.42,14.86,14.99,4.84,5.5,5.65,2.87,73.61,18.63,5.13,1.05
MALAKOFF CORPORATION BERHAD,Utilities,2019-12-31,0,0,1.12,0.815,0.745,0.96,"4,075.0M",5264,6,0.87,7.53,6.33,0.85,5.11,2.13,-4.96,14.19,6.55,7.5,1.66,3.81,3.37,13.28,9.64,13.4,6.31,6.55,6.39,0.52,88.42,15.74,5.06,2.5
CREST BUILDER HOLDINGS BERHAD,Construction,2019-12-31,0,0,3.02,0.705,0.69,1.21,124.7M,8591,10,0.915,12.76,21.25,14.5,7.52,4.15,28.72,80.16,11.6,18.11,10.8,7.89,6.17,7.84,9.62,7.18,4.51,3.5,4.15,0.49,30.87,15.9,5.02,2.17
IGB REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.0663,1.85,1.76,2.1,"6,570.9M",5227,8,1.89,4.71,5.52,1.25,7.85,1.48,13.18,35.73,8.91,8.3,1.62,56.58,35.74,21.23,21.26,19.13,4.7,9.16,7.65,2.32,89.65,21.54,5.01,1.43
FAVELLE FAVCO BERHAD,Industrial Products & Services,2019-12-31,0,0,3.19,2.35,2.11,3.02,526.3M,7229,10,2.73,13.35,14.9,3.63,15.35,3.99,10.86,24.11,36.58,32.01,7.24,10.73,1.9,7.49,7.27,7.1,1.66,15.0,11.3,3.63,35.2,8.69,5.01,0.82
CB INDUSTRIAL PRODUCT HOLDING BERHAD,Industrial Products & Services,2019-12-31,0,0,1.44,0.82,0.75,1.25,441.4M,7076,10,1.1,6.4,15.52,10.92,18.06,12.51,-7.15,51.29,7.04,29.68,24.21,20.24,11.47,15.63,10.74,9.64,5.02,2.0,11.1,15.0,37.43,18.79,4.98,5.26
TURBO-MECH BERHAD,Industrial Products & Services,2019-12-31,0,0,1.0,0.61,0.53,0.825,65.9M,5167,10,0.72,3.91,9.67,4.49,9.68,5.17,0.82,55.16,2.81,7.16,3.2,18.12,7.7,25.59,18.5,13.87,8.22,1.0,3.55,2.45,42.54,25.41,4.96,3.91
MAXIS BERHAD,Telecommunications & Media,2019-12-31,0,0,0.9,5.2,4.88,5.81,"40,666.6M",6012,10,5.32,3.65,4.27,0.97,31.14,6.64,-3.56,12.81,19.4,25.62,4.07,22.0,3.54,27.39,23.6,24.53,4.93,20.0,30.0,10.0,117.78,37.91,4.93,1.63
APM AUTOMOTIVE HOLDINGS BERHAD,Industrial Products & Services,2019-12-31,0,0,6.51,1.8,1.67,3.1,362.9M,5015,10,2.16,6.45,9.35,2.64,8.33,5.22,-12.78,14.9,13.93,40.81,19.73,7.8,3.35,15.51,12.61,11.63,3.4,10.0,20.7,9.37,54.92,12.68,4.92,1.25
BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,Consumer Products & Services,2019-12-31,0,0,1.36,11.04,10.22,37.0,"3,152.3M",4162,10,15.08,7.98,5.28,1.05,142.46,27.7,-6.06,14.15,121.1,242.08,63.89,17.71,1.66,12.52,18.16,19.58,3.19,118.0,218.0,76.98,92.09,23.1,4.9,1.62
PANTECH GROUP HOLDINGS BERHAD,Industrial Products & Services,2019-02-28,0,0,0.81,0.385,0.36,0.595,289.1M,5125,10,0.54,11.91,12.14,2.86,10.99,4.58,-0.55,32.52,6.43,7.65,2.44,8.43,1.68,8.4,8.7,8.66,1.83,2.01,3.22,0.99,42.39,5.86,4.9,1.06
AL-SALAM REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.076,0.8,0.78,0.94,464.0M,5269,5,0.81,7.7,6.72,2.06,5.8,1.75,38.32,88.84,6.23,6.16,1.89,27.06,28.23,12.99,24.06,17.74,9.44,5.69,4.38,2.36,63.26,35.67,4.89,2.82
HONG LEONG INDUSTRIES BERHAD,Consumer Products & Services,2019-06-30,0,0,5.48,7.97,7.97,11.6,"2,613.4M",3301,10,11.28,9.23,10.78,3.88,15.63,4.33,18.84,73.01,104.2,67.16,23.76,12.47,4.1,10.83,18.06,11.29,6.69,50.0,32.45,11.61,53.65,28.88,4.88,0.9
ASIA FILE CORPORATION BHD,Consumer Products & Services,2019-03-31,0,0,3.152,1.79,1.67,2.6,348.6M,7129,10,2.55,9.62,9.38,1.48,13.32,4.09,-5.08,20.84,24.53,35.66,7.99,16.96,2.76,10.4,11.92,10.97,1.96,14.0,19.13,4.37,54.09,6.93,4.84,0.96
MALAYAN FLOUR MILLS BERHAD,Consumer Products & Services,2019-12-31,0,0,1.09,0.465,0.44,0.855,466.9M,3662,10,0.64,6.73,11.1,9.31,8.47,5.01,17.48,104.66,4.51,22.37,27.59,3.14,1.55,14.85,18.69,14.2,8.45,3.0,7.05,7.02,59.1,30.44,4.83,3.05
UNITED PLANTATIONS BERHAD,Plantation,2014-12-31,0,0,12.28,25.02,24.5,27.8,"5,207.5M",2089,10,24.4,5.48,8.06,2.52,15.48,2.67,10.44,25.73,133.8,122.72,36.18,27.37,2.95,18.24,14.32,13.57,3.95,165.0,82.82,43.05,65.07,24.51,4.82,1.08
LINGKARAN TRANS KOTA HOLDINGS BERHAD,Transportation & Logistics,2019-03-31,0,0,2.07,4.35,4.13,5.0,"2,311.3M",6645,10,4.21,10.62,6.68,1.64,26.35,3.19,11.41,18.6,44.72,29.5,10.3,36.1,6.96,9.41,17.06,15.86,3.82,25.0,20.5,3.77,74.46,16.22,4.76,0.64
ELK-DESA RESOURCES BERHAD,Financial Services,2019-03-31,0,0,1.41,1.4,1.33,1.77,416.0M,5228,8,1.39,8.0,9.39,1.11,7.86,1.3,-3.53,12.22,11.22,12.71,1.95,24.69,13.24,12.51,6.56,9.47,3.8,7.0,6.09,2.33,50.44,20.05,4.74,1.81
BERMAZ AUTO BERHAD,Consumer Products & Services,2019-04-30,0,0,0.4164,1.48,1.48,2.78,"1,722.1M",5248,7,2.4,9.53,7.09,1.65,39.48,11.54,30.34,59.87,22.86,15.13,5.07,6.27,4.49,10.5,10.36,12.79,6.21,21.25,11.44,6.62,70.94,37.57,4.68,2.79
MUAR BAN LEE GROUP BERHAD,Industrial Products & Services,2019-12-31,0,0,1.38,1.23,1.06,1.49,132.1M,5152,10,1.38,14.0,12.17,4.89,11.59,4.44,20.48,46.3,19.26,11.26,4.66,12.38,5.36,7.15,11.22,9.75,4.11,4.5,4.3,2.38,43.91,28.56,4.68,2.52
COCOALAND HOLDINGS BERHAD,Consumer Products & Services,2019-12-31,0,0,1.09,1.7,1.68,2.22,389.0M,7205,10,1.97,8.24,6.51,1.79,12.46,3.14,10.0,20.19,16.23,13.44,2.93,11.24,2.75,12.13,21.75,16.92,6.08,10.0,9.72,6.58,71.13,43.17,4.66,3.15
OKA CORPORATION BHD,Industrial Products & Services,2019-03-31,0,0,0.73,0.58,0.55,0.825,142.3M,7140,10,0.67,6.66,12.61,3.18,10.04,4.43,4.56,36.52,4.46,9.82,3.53,9.15,4.88,15.01,10.39,8.55,2.59,3.7,3.92,0.99,43.09,14.53,4.66,1.2
KUMPULAN FIMA BERHAD,Industrial Products & Services,2019-03-31,0,0,2.86,1.31,1.28,1.8,369.7M,6491,10,1.66,12.8,12.67,4.5,9.92,4.22,4.46,33.84,21.25,21.6,6.28,17.77,5.2,7.81,11.24,9.12,3.76,9.0,8.05,1.19,42.9,20.96,4.63,0.68
MINTYE BERHAD,Consumer Products & Services,2019-01-31,0,0,1.78,1.33,0.76,1.36,80.9M,5886,10,0.8,3.44,5.45,2.12,3.75,1.64,-8.66,27.89,2.75,6.55,2.76,7.86,3.12,29.06,25.86,21.3,8.65,3.0,5.8,4.16,97.19,51.15,4.63,2.79
PAVILION REAL ESTATE INV TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.2677,1.7,1.6,1.92,"5,173.7M",5212,9,1.74,4.97,6.99,4.02,8.69,4.86,553.19,1579.37,8.64,10.59,5.42,73.48,47.31,20.14,136.24,42.75,79.01,8.5,7.18,2.45,79.23,23.97,4.62,1.54
BURSA MALAYSIA BERHAD,Financial Services,2019-12-31,0,0,0.94,5.14,5.1,7.13,"4,155.7M",1818,10,6.09,3.77,4.04,0.51,21.93,4.32,2.3,16.86,23.0,31.25,6.35,38.41,2.82,26.49,29.2,25.25,4.05,20.8,35.54,12.51,111.59,24.16,4.54,1.21
FREIGHT MANAGEMENT HOLDINGS BERHAD,Transportation & Logistics,2019-06-30,0,0,1.04,0.5,0.455,0.7,139.6M,7210,10,0.6,8.12,11.37,4.14,12.04,4.49,-7.19,19.05,4.87,12.07,2.86,5.34,1.36,12.32,8.9,9.75,2.71,3.5,4.7,0.51,41.57,11.51,4.51,1.34
FIAMMA HOLDINGS BERHAD,Consumer Products & Services,2019-09-30,0,0,1.01,0.44,0.43,0.54,224.4M,6939,10,0.485,11.6,16.0,5.94,9.74,3.46,4.13,36.51,5.63,18.17,12.09,11.69,2.87,8.62,8.34,7.27,2.91,2.0,4.55,2.3,29.33,7.24,4.49,1.62
LPI CAPITAL BHD,Financial Services,2019-12-31,0,0,4.9234,14.04,13.54,16.28,"5,593.3M",8621,10,15.1,5.36,5.72,0.99,15.67,3.46,4.83,22.32,80.92,91.22,21.79,21.26,4.44,18.66,16.54,17.92,2.55,70.0,70.0,6.39,79.6,13.41,4.45,0.45
WESTPORTS HOLDINGS BERHAD,Transportation & Logistics,2019-12-31,0,0,0.7508,3.36,3.02,4.54,"11,457.6M",5246,8,4.21,4.12,4.42,0.5,26.33,2.7,5.41,12.27,17.33,15.81,2.27,24.11,12.4,24.3,13.92,20.08,7.98,13.0,15.32,9.77,99.63,72.99,4.44,4.51
PANASONIC MANUFACTURING MALAYSIA BERHAD,Consumer Products & Services,2019-03-31,0,0,13.09,29.8,28.8,41.2,"1,810.2M",3719,10,37.7,4.62,6.24,1.01,13.26,2.48,6.94,20.66,174.0,161.4,45.24,10.19,1.52,21.66,16.96,16.45,2.71,226.0,112.6,87.63,71.39,54.56,4.39,3.25
ELSOFT RESEARCH BERHAD,Technology,2019-12-31,0,0,0.17,0.54,0.505,1.08,361.5M,0090,10,0.83,3.21,6.6,2.05,23.17,11.92,10.94,42.15,2.66,6.62,3.62,44.85,6.4,31.18,20.64,17.05,6.39,3.0,4.86,2.98,72.04,18.89,4.36,1.26
NEW HOONG FATT HOLDINGS BERHAD,Consumer Products & Services,2019-12-31,0,0,5.61,2.37,2.3,2.86,195.9M,7060,10,2.69,6.69,9.82,3.05,6.04,2.33,-1.13,34.66,17.99,26.31,7.52,8.88,2.55,14.95,11.18,11.2,3.36,10.0,11.6,1.36,46.52,9.01,4.34,0.8
ENG KAH CORPORATION BERHAD,Consumer Products & Services,2019-12-31,0,0,1.0,0.9,0.765,1.12,63.7M,7149,10,0.985,1.12,4.62,2.91,8.91,5.63,10.93,125.23,1.1,9.55,6.6,8.82,4.65,89.58,49.86,35.66,25.77,0.0,10.83,9.09,108.01,63.24,4.29,3.14
AMCORP PROPERTIES BERHAD,Property,2019-03-31,0,0,1.45,0.37,0.35,0.58,271.3M,1007,10,0.535,7.72,19.53,12.22,9.34,5.59,101.93,288.19,4.13,12.88,8.49,48.21,31.67,12.96,20.01,9.8,10.05,3.0,2.8,2.14,37.02,39.85,4.27,3.78
KLCC REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-12-31,0,0,7.32,8.04,7.68,8.48,"14,514.9M",5235SS,8,7.9,5.54,6.68,1.33,8.5,4.06,-9.76,24.84,43.77,63.2,35.9,71.47,46.03,18.05,9.54,13.6,5.81,38.0,32.57,6.6,63.94,23.75,4.12,1.58
WILLOWGLEN MSC BERHAD,Technology,2019-12-31,0,0,0.34,0.4,0.325,0.645,198.4M,0008,10,0.52,5.88,9.85,3.7,14.71,4.58,6.06,36.29,3.06,5.67,2.12,14.51,3.22,17.02,13.75,11.7,4.64,1.5,1.9,0.86,39.82,22.44,4.06,2.86
YOONG ONN CORPORATION BERHAD,Consumer Products & Services,2019-06-30,0,0,1.44,0.69,0.67,1.23,110.4M,5159,10,1.08,13.24,15.01,4.61,13.5,2.93,-0.01,12.37,14.28,13.19,1.6,11.3,0.94,7.55,6.98,7.26,2.0,4.5,3.9,1.77,28.67,11.43,3.98,1.98
